date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.1,1.35,1.1,1.1,24800,40300,0.4757094852017038,-0.053781608741787945,0.0023793237196816732,-0.0830723578558638,0.10552331406947257
2026-04-28 00:00:00+05:30,1.0,1.1,1.0,1.1,6200,43400,0.4614867612506663,-0.05674401375673255,0.0026367567323020724,-0.08442345848521586,0.10683129007095206
2026-04-29 00:00:00+05:30,1.1,1.1,0.7,0.95,49600,49600,0.507134186309673,-0.04556656837947892,0.0019921420083507564,-0.08221988050458727,0.09073921517402768
2026-04-30 00:00:00+05:30,0.95,1.25,0.95,0.95,49600,74400,0.5012448183730189,-0.047186990552472,0.0021304160479322584,-0.0844536055780997,0.0908010578033681
2026-05-04 00:00:00+05:30,0.8,0.8,0.45,0.65,83700,71300,0.505735075888268,-0.03634545203496542,0.001855933655883913,-0.07542455120097478,0.06766917777176704
2026-05-05 00:00:00+05:30,0.35,0.4,0.25,0.25,158100,96100,,,,,
2026-05-06 00:00:00+05:30,0.2,0.2,0.2,0.2,3100,93000,,,,,
2026-05-07 00:00:00+05:30,0.15,0.15,0.1,0.1,40300,71300,,,,,
2026-05-08 00:00:00+05:30,0.1,0.1,0.1,0.1,0,71300,,,,,
2026-05-11 00:00:00+05:30,0.1,0.1,0.1,0.1,0,71300,,,,,
2026-05-12 00:00:00+05:30,0.1,0.1,0.1,0.1,0,71300,,,,,
2026-05-13 00:00:00+05:30,0.1,0.1,0.1,0.1,6200,77500,,,,,
2026-05-14 00:00:00+05:30,0.3,0.3,0.15,0.15,12400,71300,,,,,
2026-05-15 00:00:00+05:30,0.15,0.15,0.15,0.15,0,71300,,,,,
