date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,11.85,13.15,10.2,10.7,42333,63963,0.5146827307779313,-0.06809847238802069,0.0003902449878098062,-0.733322160577041,0.8602638582566939
2026-04-28 00:00:00+05:30,9.15,9.2,5.3,6.05,66744,84357,0.5258136039780678,-0.04035698952593836,0.00024705637324794254,-0.5261321538503544,0.5799515137301126
2026-04-29 00:00:00+05:30,5.8,6.05,4.4,4.6,17922,89301,0.5169211449863448,-0.03270118308629044,0.00021424286300861475,-0.44656016660039893,0.4821113430874875
2026-04-30 00:00:00+05:30,6.4,7.0,4.5,4.95,39552,99498,0.5214085930431053,-0.03540502838050663,0.00023273601608139285,-0.48668613851448767,0.5013944250083331
2026-05-04 00:00:00+05:30,3.6,4.05,2.95,3.55,111858,63963,,,,,
2026-05-05 00:00:00+05:30,3.45,3.7,2.65,3.15,536733,64581,,,,,
2026-05-06 00:00:00+05:30,2.85,3.35,2.3,3.1,342681,66126,,,,,
2026-05-07 00:00:00+05:30,3.15,3.2,2.55,2.6,55620,74778,,,,,
2026-05-08 00:00:00+05:30,2.6,2.7,2.4,2.5,10815,76941,,,,,
2026-05-11 00:00:00+05:30,2.5,2.5,2.15,2.2,16377,66126,,,,,
2026-05-12 00:00:00+05:30,2.0,2.85,2.0,2.8,23175,52221,,,,,
2026-05-13 00:00:00+05:30,2.5,2.5,1.95,2.15,9888,49440,,,,,
2026-05-14 00:00:00+05:30,2.2,2.2,1.35,1.35,12051,43878,,,,,
2026-05-15 00:00:00+05:30,1.05,1.35,1.0,1.0,8961,42951,,,,,
