date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,62.45,66.4,53.0,63.3,73851,65817,0.5029310728568953,0.3189881417958912,0.001085045922540452,-2.1473307526267575,2.337283187562075
2026-04-28 00:00:00+05:30,64.95,87.4,64.2,75.25,192198,70452,0.4295490090817332,0.3953568082792567,0.0013419058421997316,-2.1303382175215675,2.573348300975399
2026-04-29 00:00:00+05:30,75.3,87.0,65.6,76.8,239784,97026,0.4228337072070277,0.40842120949571187,0.0013921429775901716,-2.169296618381581,2.5625369158661915
2026-04-30 00:00:00+05:30,69.65,72.95,47.0,67.6,242256,117729,0.42226853848638357,0.3803809443745616,0.001403204988252686,-2.1391802631332233,2.448203788168116
2026-05-04 00:00:00+05:30,66.0,108.55,50.45,81.85,1269372,231441,,,,,
2026-05-05 00:00:00+05:30,76.5,98.75,67.6,70.95,435999,219081,,,,,
2026-05-06 00:00:00+05:30,80.95,112.6,72.35,102.9,1111164,165933,,,,,
2026-05-07 00:00:00+05:30,102.85,104.5,81.0,84.8,367092,176748,,,,,
2026-05-08 00:00:00+05:30,84.8,105.0,77.55,81.25,718116,221244,,,,,
2026-05-11 00:00:00+05:30,75.0,81.55,57.15,69.05,797838,238548,,,,,
2026-05-12 00:00:00+05:30,68.0,68.0,34.2,34.85,466590,300039,,,,,
2026-05-13 00:00:00+05:30,39.0,87.35,37.5,69.95,788568,221553,,,,,
2026-05-14 00:00:00+05:30,93.3,220.0,82.8,216.2,547548,125454,,,,,
2026-05-15 00:00:00+05:30,234.3,290.1,202.6,213.0,36153,102897,,,,,
