date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,84.95,113.45,84.95,101.3,105450,102600,0.38552617075229667,0.6480583259939455,0.002097229747701648,-1.3023186895216645,1.7036506103310018
2026-04-28 00:00:00+05:30,98.3,105.0,95.5,103.4,33250,120650,0.36978014988547636,0.6734681975906404,0.0021500541619060226,-1.2580020855510914,1.6355876427151743
2026-04-29 00:00:00+05:30,115.95,118.95,115.95,118.95,1425,120650,0.37219413800041345,0.7232714334861958,0.00199047098864943,-1.234999816362544,1.5121254991522939
2026-04-30 00:00:00+05:30,90.0,120.6,70.5,105.7,240350,147725,0.30839818189507506,0.7510232947913305,0.0023244603147228034,-1.0346423844234127,1.4025446284222407
2026-05-04 00:00:00+05:30,134.1,178.5,130.05,168.35,33250,151525,,,,,
2026-05-05 00:00:00+05:30,168.35,177.65,158.2,165.0,14250,152475,,,,,
2026-05-06 00:00:00+05:30,170.0,190.0,170.0,190.0,950,152000,,,,,
2026-05-07 00:00:00+05:30,166.45,169.0,166.45,167.1,1900,151525,,,,,
2026-05-08 00:00:00+05:30,204.0,211.45,182.0,190.0,10450,151050,,,,,
2026-05-11 00:00:00+05:30,177.75,198.9,168.25,198.9,6650,151050,,,,,
2026-05-12 00:00:00+05:30,163.1,167.0,121.85,123.9,12350,151050,,,,,
2026-05-13 00:00:00+05:30,161.9,161.9,156.35,158.0,2850,150100,,,,,
2026-05-14 00:00:00+05:30,175.0,187.5,175.0,187.5,1425,149625,,,,,
2026-05-15 00:00:00+05:30,237.0,237.0,237.0,237.0,475,149625,,,,,
