date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,20.0,24.0,18.2,18.2,625,1000,0.3490247673140183,0.07948815111885466,0.0002814028121542172,-1.4134739996731,2.2285516901427966
2026-04-28 00:00:00+05:30,18.2,18.2,18.2,18.2,0,1000,0.3285112001173603,0.08372306743939606,0.00031206091787744757,-1.4320341198918294,2.308941260800732
2026-04-29 00:00:00+05:30,18.2,20.0,14.35,14.6,6875,4500,0.3447029131389497,0.0685599033151375,0.0002637367102093908,-1.2885902010359955,1.9205222232376664
2026-04-30 00:00:00+05:30,22.35,22.35,13.0,14.75,3750,6625,0.33200886299247945,0.07180221903596992,0.0002861338545664914,-1.326313278891227,1.9732718748100917
2026-05-04 00:00:00+05:30,12.95,12.95,9.0,9.6,1625,6375,0.34539849365205405,0.051852745954811486,0.0002335594748150419,-1.1445861735557172,1.3971992578375
2026-05-05 00:00:00+05:30,9.6,9.6,4.05,4.7,10250,6500,,,,,
2026-05-06 00:00:00+05:30,6.5,14.25,6.5,8.6,29250,7750,,,,,
2026-05-07 00:00:00+05:30,8.7,10.0,8.15,9.6,4625,7625,,,,,
2026-05-08 00:00:00+05:30,12.15,12.6,8.95,9.7,1375,7875,,,,,
2026-05-11 00:00:00+05:30,3.65,13.0,3.5,9.75,11625,6750,,,,,
2026-05-12 00:00:00+05:30,9.75,9.75,3.2,3.2,2000,5500,,,,,
2026-05-13 00:00:00+05:30,3.2,3.75,2.1,3.0,1250,4875,,,,,
2026-05-14 00:00:00+05:30,4.0,4.0,4.0,4.0,125,4750,,,,,
2026-05-15 00:00:00+05:30,13.0,13.0,2.7,2.7,4000,5750,,,,,
