date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,25.0,25.0,25.0,25.0,0,5000,0.8085536311376358,0.7241332436255874,0.00866111174412316,-0.23970202603283808,0.15947827274402088
2026-04-28 00:00:00+05:30,25.0,25.0,25.0,25.0,0,5000,0.9033459565071114,0.6986361259581513,0.00831249165512951,-0.27715524866489105,0.1616530201163919
2026-04-29 00:00:00+05:30,25.0,25.0,25.0,25.0,0,5000,0.9976706137058369,0.6772403563963234,0.007980659884195438,-0.31441276738765994,0.16177043129979599
2026-04-30 00:00:00+05:30,25.0,25.0,25.0,25.0,0,5000,1.1672652183419794,0.6429640148678751,0.007387430479093645,-0.37636873804859217,0.16138229221122763
2026-05-04 00:00:00+05:30,12.54,14.2,11.33,11.46,65000,30000,0.3931454005731484,0.7376091699911902,0.021001677055501097,-0.13401087037249265,0.128631405527544
2026-05-05 00:00:00+05:30,10.8,10.95,10.8,10.91,20000,40000,,,,,
2026-05-06 00:00:00+05:30,13.0,18.54,11.29,17.64,210000,75000,,,,,
2026-05-07 00:00:00+05:30,18.25,18.25,18.15,18.15,10000,85000,,,,,
2026-05-08 00:00:00+05:30,17.0,18.31,16.85,17.26,55000,95000,,,,,
2026-05-11 00:00:00+05:30,13.5,13.5,10.56,10.95,165000,140000,,,,,
2026-05-12 00:00:00+05:30,7.2,7.52,6.91,7.21,165000,205000,,,,,
2026-05-13 00:00:00+05:30,7.11,7.69,5.57,5.75,2230000,810000,,,,,
2026-05-14 00:00:00+05:30,5.96,6.67,3.95,6.06,9815000,1750000,,,,,
2026-05-15 00:00:00+05:30,6.63,7.69,4.35,4.86,3295000,2005000,,,,,
