date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.13,6.18,5.16,5.48,265000,180000,0.47198096412463647,-0.3396287029013496,0.016261174941530256,-0.1310147773011856,0.17478149702790055
2026-04-28 00:00:00+05:30,4.49,6.0,4.49,5.83,420000,440000,0.46359826044438557,-0.3669348874903541,0.017505293498202602,-0.13264694852068754,0.1747067520601129
2026-04-29 00:00:00+05:30,5.7,6.65,5.07,6.49,815000,700000,0.4699133397096975,-0.39915984649416947,0.018229628021485207,-0.1385218058823135,0.17404788135597266
2026-04-30 00:00:00+05:30,7.0,8.92,6.7,7.19,1795000,1080000,0.4270792597347381,-0.4699283254900666,0.021531236176301916,-0.1264983397330512,0.1720958406470565
2026-05-04 00:00:00+05:30,7.99,9.22,6.1,7.7,1175000,1185000,0.45209238913593747,-0.5022493099301837,0.02235661495212832,-0.14603771449961883,0.15746102811775717
2026-05-05 00:00:00+05:30,8.56,8.62,6.99,7.61,1210000,1375000,,,,,
2026-05-06 00:00:00+05:30,6.06,7.06,3.59,3.83,2880000,1430000,,,,,
2026-05-07 00:00:00+05:30,3.99,4.15,2.07,2.46,3120000,1700000,,,,,
2026-05-08 00:00:00+05:30,3.0,3.62,2.83,3.07,1245000,1755000,,,,,
2026-05-11 00:00:00+05:30,5.5,6.5,4.49,6.01,5665000,2275000,,,,,
2026-05-12 00:00:00+05:30,6.5,9.62,6.5,9.01,1455000,2210000,,,,,
2026-05-13 00:00:00+05:30,9.0,10.92,8.23,10.77,795000,2125000,,,,,
2026-05-14 00:00:00+05:30,10.77,13.01,8.88,9.3,410000,2040000,,,,,
2026-05-15 00:00:00+05:30,8.16,10.7,7.44,10.17,600000,2010000,,,,,
