date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.85,7.85,6.15,6.5,1160000,2035000,0.47174369334468713,-0.3825462699713029,0.01694756080960902,-0.13539375077118537,0.18206746836155532
2026-04-28 00:00:00+05:30,6.44,7.11,5.18,6.85,2245000,2345000,0.45952177131367067,-0.4121933031780286,0.018256261418201674,-0.13467877434187295,0.1805994543350873
2026-04-29 00:00:00+05:30,6.75,7.85,6.0,7.72,3530000,3095000,0.472901454533983,-0.4459046758479319,0.01854323871091216,-0.14149431685207453,0.17816787463695577
2026-04-30 00:00:00+05:30,7.88,10.4,7.88,8.43,2695000,2920000,0.4207602229811424,-0.5243483094333975,0.021876057799356828,-0.12275211223333565,0.17226484860016097
2026-05-04 00:00:00+05:30,10.66,10.69,7.35,9.13,2095000,2785000,0.45220262842130055,-0.556906566517507,0.022123737230683116,-0.14261102357406072,0.15585883074767554
2026-05-05 00:00:00+05:30,10.09,10.5,8.42,9.19,880000,2865000,,,,,
2026-05-06 00:00:00+05:30,7.2,8.68,4.5,4.82,6130000,3710000,,,,,
2026-05-07 00:00:00+05:30,4.81,5.25,2.72,3.23,7655000,3820000,,,,,
2026-05-08 00:00:00+05:30,3.99,4.6,3.62,3.92,3885000,3705000,,,,,
2026-05-11 00:00:00+05:30,5.9,7.98,5.6,7.56,6640000,3790000,,,,,
2026-05-12 00:00:00+05:30,7.75,11.5,7.7,10.95,1870000,3550000,,,,,
2026-05-13 00:00:00+05:30,12.0,12.93,10.08,12.67,455000,3510000,,,,,
2026-05-14 00:00:00+05:30,12.2,15.35,10.8,11.44,910000,3320000,,,,,
2026-05-15 00:00:00+05:30,10.5,13.15,9.25,12.5,905000,3385000,,,,,
