date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,108.15,115.75,96.05,115.75,3500,33500,0.33160641922910966,-0.552254147782665,0.0017026537395664135,-1.3190373914828315,2.770620791269268
2026-04-28 00:00:00+05:30,118.25,127.4,108.5,125.15,26500,36000,0.3231206365691651,-0.5968982159431611,0.0017565069631452687,-1.2394521225281099,2.640386409317643
2026-04-29 00:00:00+05:30,136.0,136.0,119.7,121.55,3000,35250,0.27599456561838587,-0.6530994198352635,0.002009688744156511,-0.9496961978068594,2.457393193594664
2026-04-30 00:00:00+05:30,155.75,179.3,123.95,126.2,6250,34500,0.2916864780075931,-0.6531635100612156,0.0019398838238966027,-1.0442213312363187,2.4085329102308557
2026-05-04 00:00:00+05:30,88.9,114.9,83.9,111.8,68750,26250,,,,,
2026-05-05 00:00:00+05:30,123.6,127.6,120.45,121.9,5250,25250,,,,,
2026-05-06 00:00:00+05:30,111.7,111.7,64.9,67.8,216500,86750,,,,,
2026-05-07 00:00:00+05:30,70.0,73.05,48.5,58.65,330500,98750,,,,,
2026-05-08 00:00:00+05:30,58.9,59.05,30.25,32.1,723000,174250,,,,,
2026-05-11 00:00:00+05:30,41.0,44.75,29.0,42.2,615250,156000,,,,,
2026-05-12 00:00:00+05:30,47.95,69.45,45.15,65.55,325750,161750,,,,,
2026-05-13 00:00:00+05:30,45.1,45.1,18.8,23.35,916250,254500,,,,,
2026-05-14 00:00:00+05:30,20.0,20.05,12.25,17.75,331000,248750,,,,,
2026-05-15 00:00:00+05:30,20.0,22.8,13.6,18.0,188750,232000,,,,,
