date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,38.5,52.0,35.5,48.85,150875,145350,0.40027974411987083,-0.37956817092867823,0.002197712500604697,-1.0241024369015148,1.6468588766610086
2026-04-28 00:00:00+05:30,48.8,51.0,36.7,39.6,129200,162350,0.38028152414632865,-0.3428930476540222,0.002253227774015106,-0.9692438841011236,1.576965703218702
2026-04-29 00:00:00+05:30,37.05,37.05,23.75,32.6,284325,178500,0.3494086553579421,-0.3219890408908034,0.0024296726679358836,-0.8849242145912102,1.5142004522484482
2026-04-30 00:00:00+05:30,39.95,47.55,36.9,41.25,192100,163625,0.3588590771761081,-0.3817300453592517,0.0026023977805037534,-0.9629306408926296,1.5566487697451135
2026-05-04 00:00:00+05:30,33.85,35.0,25.0,28.35,107950,150450,0.36792803119133943,-0.3015680142227729,0.0024738645289852524,-1.0270433438955064,1.334427733963256
2026-05-05 00:00:00+05:30,32.0,36.15,29.5,34.6,88400,160225,,,,,
2026-05-06 00:00:00+05:30,27.05,30.85,16.7,18.05,339575,141100,,,,,
2026-05-07 00:00:00+05:30,16.0,21.0,13.8,18.6,162350,152150,,,,,
2026-05-08 00:00:00+05:30,15.85,20.0,14.75,19.55,97325,144500,,,,,
2026-05-11 00:00:00+05:30,21.0,21.0,14.05,17.7,87125,137275,,,,,
2026-05-12 00:00:00+05:30,21.2,31.9,17.25,30.45,198475,138550,,,,,
2026-05-13 00:00:00+05:30,27.0,35.0,18.0,23.55,135575,143650,,,,,
2026-05-14 00:00:00+05:30,19.75,29.95,15.9,16.55,130050,144075,,,,,
2026-05-15 00:00:00+05:30,18.55,18.55,12.95,17.7,171700,154275,,,,,
