date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,32.2,41.4,32.0,35.75,89650,155650,0.3204870609834928,0.4086841959562567,0.003035210598620825,-0.9538623349487227,1.5511730536715556
2026-04-28 00:00:00+05:30,35.05,37.9,33.4,35.5,88550,193600,0.30921984645852824,0.41997549811239043,0.0032082683524133067,-0.9505233276058602,1.5401705790008238
2026-04-29 00:00:00+05:30,35.5,35.5,22.85,24.15,312400,226600,0.30412594409779464,0.3315972086337504,0.0031405187064489836,-0.8545260242022967,1.3784601233006677
2026-04-30 00:00:00+05:30,20.25,24.0,18.0,20.65,217800,269500,0.3015334591676851,0.30250432831887786,0.0031209530729727885,-0.8216789659247778,1.2942564389398712
2026-05-04 00:00:00+05:30,20.65,20.65,14.0,14.5,172150,293700,0.3082777168089004,0.24405344119029604,0.0030123304699938287,-0.799728508583772,1.059769539775538
2026-05-05 00:00:00+05:30,14.5,31.2,13.0,30.5,549450,281050,,,,,
2026-05-06 00:00:00+05:30,36.85,60.25,35.3,57.4,2832500,311850,,,,,
2026-05-07 00:00:00+05:30,58.0,65.4,46.05,51.45,187550,305800,,,,,
2026-05-08 00:00:00+05:30,60.65,72.1,53.05,56.0,141900,256300,,,,,
2026-05-11 00:00:00+05:30,63.6,63.6,48.6,50.3,51700,248050,,,,,
2026-05-12 00:00:00+05:30,44.7,62.5,44.7,51.1,40700,240900,,,,,
2026-05-13 00:00:00+05:30,53.0,70.0,52.45,61.55,40150,228800,,,,,
2026-05-14 00:00:00+05:30,71.8,77.8,61.9,70.55,51700,202950,,,,,
2026-05-15 00:00:00+05:30,65.0,79.15,61.0,66.0,31350,191950,,,,,
