date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,73.05,86.3,67.4,68.1,148750,78125,0.25736982996240537,-0.6777773879071427,0.003733354701608568,-0.422058495397764,1.3386566194120513
2026-04-28 00:00:00+05:30,67.65,91.0,67.65,91.0,2500,76875,0.22668914694445536,-0.8353897064323017,0.0030625140094343068,-0.15023000287135213,0.8848706977981472
2026-04-29 00:00:00+05:30,76.0,89.85,75.8,88.2,17500,66875,0.2618484083583536,-0.7806423771946269,0.0032016613042858116,-0.3094639914998677,1.0422556783640702
2026-04-30 00:00:00+05:30,110.0,120.0,104.55,104.55,8125,61250,,,,,
2026-05-04 00:00:00+05:30,90.0,93.55,90.0,93.55,1875,61250,,,,,
2026-05-05 00:00:00+05:30,93.55,93.55,93.55,93.55,0,61250,,,,,
2026-05-06 00:00:00+05:30,81.15,81.75,78.8,80.65,28750,56875,,,,,
2026-05-07 00:00:00+05:30,88.0,93.4,85.2,85.6,15625,55000,,,,,
2026-05-08 00:00:00+05:30,103.6,103.6,103.6,103.6,1250,53750,,,,,
2026-05-11 00:00:00+05:30,103.6,103.6,103.6,103.6,0,53750,,,,,
2026-05-12 00:00:00+05:30,103.6,103.6,103.6,103.6,0,53750,,,,,
2026-05-13 00:00:00+05:30,103.6,103.6,103.6,103.6,0,53750,,,,,
2026-05-14 00:00:00+05:30,126.7,127.95,111.45,116.95,18750,46875,,,,,
2026-05-15 00:00:00+05:30,116.95,116.95,116.95,116.95,0,46875,,,,,
