date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,615.7,615.7,615.7,615.7,0,225,,,,,
2026-04-28 00:00:00+05:30,615.7,615.7,615.7,615.7,0,225,,,,,
2026-04-29 00:00:00+05:30,615.7,615.7,615.7,615.7,0,225,,,,,
2026-04-30 00:00:00+05:30,646.5,651.35,462.55,484.25,5025,3225,0.3150873439290959,-0.6031554633251919,0.00045872020502254004,-5.07140857069165,10.283430155628698
2026-05-04 00:00:00+05:30,300.0,434.0,263.35,390.65,190125,26700,,,,,
2026-05-05 00:00:00+05:30,396.3,447.8,383.9,425.65,12000,22875,,,,,
2026-05-06 00:00:00+05:30,344.8,387.15,255.95,277.0,270000,105750,,,,,
2026-05-07 00:00:00+05:30,170.8,292.7,103.15,115.0,488400,131475,,,,,
2026-05-08 00:00:00+05:30,115.0,137.05,75.3,85.6,275475,126225,,,,,
2026-05-11 00:00:00+05:30,112.95,125.0,93.9,101.5,120750,129225,,,,,
2026-05-12 00:00:00+05:30,101.5,176.15,88.0,166.65,112200,126300,,,,,
2026-05-13 00:00:00+05:30,160.0,244.05,149.1,207.4,196200,131625,,,,,
2026-05-14 00:00:00+05:30,181.95,222.6,109.1,125.75,178650,134850,,,,,
2026-05-15 00:00:00+05:30,120.0,178.55,101.65,142.85,182025,137400,,,,,
