date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,33.3,33.3,33.3,33.3,0,500,0.625627363090282,-0.18040075771633757,0.0008407929217033092,-1.3530050413147996,1.3126090069205507
2026-04-28 00:00:00+05:30,7.6,7.6,7.6,7.6,250,750,0.4011121402216986,-0.08090222562280003,0.0007586083934214799,-0.5021654670498479,0.7387551361326977
2026-04-29 00:00:00+05:30,4.2,6.9,4.2,6.9,1750,500,0.3818144106082886,-0.07970736699104797,0.0008092320693998611,-0.4767091032959114,0.7113640869817317
2026-04-30 00:00:00+05:30,5.5,8.05,5.1,5.85,35250,18500,0.35393800786972685,-0.07599441457352396,0.0008663146388640534,-0.4291421252780321,0.6667585305952721
2026-05-04 00:00:00+05:30,4.1,4.1,2.4,2.6,49750,33250,,,,,
2026-05-05 00:00:00+05:30,3.2,3.55,2.0,2.0,1750,32500,,,,,
2026-05-06 00:00:00+05:30,1.0,1.3,1.0,1.2,29250,30250,,,,,
2026-05-07 00:00:00+05:30,1.2,1.2,1.2,1.2,0,30250,,,,,
2026-05-08 00:00:00+05:30,1.1,1.1,0.95,0.95,1750,30000,,,,,
2026-05-11 00:00:00+05:30,0.95,0.95,0.95,0.95,0,30000,,,,,
2026-05-12 00:00:00+05:30,2.6,2.6,1.1,1.1,2000,30500,,,,,
2026-05-13 00:00:00+05:30,1.1,1.1,1.1,1.1,500,30250,,,,,
2026-05-14 00:00:00+05:30,1.05,1.1,0.85,0.85,8250,30500,,,,,
2026-05-15 00:00:00+05:30,0.7,0.7,0.25,0.25,1750,29750,,,,,
