date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,8.5,10.8,7.1,8.0,70500,184500,0.3906055084928108,-0.14577164999143521,0.0022537735748210884,-0.374901757109248,0.594329362928919
2026-04-28 00:00:00+05:30,8.0,8.85,7.05,7.9,105000,196500,0.39996651712734377,-0.14333490918845482,0.002210252153278852,-0.388236402303732,0.578556123555768
2026-04-29 00:00:00+05:30,8.25,8.7,5.8,7.25,345000,362250,0.4109090538582033,-0.13203985038981458,0.0020573613544295054,-0.38841218996441634,0.5408702386475455
2026-04-30 00:00:00+05:30,4.05,4.05,1.9,3.45,581250,238500,0.35195315493016677,-0.08270072654179728,0.0017319071285226116,-0.2436043055510186,0.381214251077617
2026-05-04 00:00:00+05:30,2.4,2.55,1.5,2.5,143250,254250,,,,,
2026-05-05 00:00:00+05:30,3.4,3.4,1.6,1.7,57750,266250,,,,,
2026-05-06 00:00:00+05:30,1.15,1.3,0.85,0.9,186750,364500,,,,,
2026-05-07 00:00:00+05:30,0.8,0.95,0.8,0.95,34500,336000,,,,,
2026-05-08 00:00:00+05:30,0.65,1.25,0.65,0.95,84750,308250,,,,,
2026-05-11 00:00:00+05:30,0.95,1.4,0.95,1.3,51000,321750,,,,,
2026-05-12 00:00:00+05:30,1.55,2.6,1.45,2.5,222750,347250,,,,,
2026-05-13 00:00:00+05:30,2.2,3.7,2.1,3.0,168750,344250,,,,,
2026-05-14 00:00:00+05:30,3.2,3.8,1.4,1.5,174750,353250,,,,,
2026-05-15 00:00:00+05:30,1.2,1.5,1.1,1.45,43500,351750,,,,,
