date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-29 00:00:00+05:30,5.0,8.43,4.65,5.37,1836000,252000,0.40440059301226655,0.3769091106736078,0.017413400593575008,-0.16575529597015243,0.2048385547192341
2026-04-30 00:00:00+05:30,4.42,7.16,4.42,6.59,738000,345600,0.4450082702186738,0.41161768498327284,0.01640379327449579,-0.19096722987291773,0.20741299754371573
2026-05-04 00:00:00+05:30,8.0,13.3,6.9,9.05,6127200,658800,0.4454312488196795,0.5230598633349502,0.017614552995903546,-0.22231237358981165,0.20216928317487476
2026-05-05 00:00:00+05:30,8.5,9.19,7.24,8.3,2404800,856800,,,,,
2026-05-06 00:00:00+05:30,9.35,9.92,7.15,9.26,3873600,925200,,,,,
2026-05-07 00:00:00+05:30,9.49,9.49,7.14,8.01,2610000,1152000,,,,,
2026-05-08 00:00:00+05:30,7.5,8.0,5.84,7.24,2325600,1209600,,,,,
2026-05-11 00:00:00+05:30,5.79,6.1,4.1,4.35,1202400,1256400,,,,,
2026-05-12 00:00:00+05:30,4.35,5.62,2.72,2.85,1983600,1450800,,,,,
2026-05-13 00:00:00+05:30,3.9,4.14,2.33,2.41,2505600,1346400,,,,,
2026-05-14 00:00:00+05:30,2.28,3.77,2.2,3.07,1450800,1288800,,,,,
2026-05-15 00:00:00+05:30,2.75,3.37,1.56,1.62,842400,1440000,,,,,
