date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.0,1.35,1.0,1.26,223600,286000,0.4390166343793851,-0.1303501499693167,0.011610644745253865,-0.06305338388363534,0.08812220843357876
2026-04-28 00:00:00+05:30,1.44,2.09,1.3,1.39,1102400,681200,0.4097040285746877,-0.1545068217758634,0.01452675464012442,-0.06528872849238174,0.09500263392264766
2026-04-29 00:00:00+05:30,1.51,1.66,0.97,1.52,733200,785200,0.41281403883434126,-0.1682964288763642,0.015636535965742698,-0.07030127172284172,0.09792928767079834
2026-04-30 00:00:00+05:30,1.85,2.57,1.81,2.02,1008800,956800,0.40616205935198296,-0.22006300995514727,0.019531526069965225,-0.08050863354616888,0.11055163330986854
2026-05-04 00:00:00+05:30,1.7,2.28,1.5,2.13,722800,1081600,0.42305913986361365,-0.23867734863825696,0.021520635736623064,-0.09517348997524107,0.10550872787656737
2026-05-05 00:00:00+05:30,2.25,2.68,1.97,2.1,780000,1081600,,,,,
2026-05-06 00:00:00+05:30,1.45,2.18,1.23,1.31,2428400,1128400,,,,,
2026-05-07 00:00:00+05:30,1.4,1.84,1.36,1.71,1341600,1310400,,,,,
2026-05-08 00:00:00+05:30,1.82,2.1,1.62,1.75,3889600,1736800,,,,,
2026-05-11 00:00:00+05:30,1.21,1.21,0.56,0.7,5371600,1752400,,,,,
2026-05-12 00:00:00+05:30,0.8,1.02,0.61,0.95,2792400,1658800,,,,,
2026-05-13 00:00:00+05:30,0.86,1.18,0.65,0.82,1658800,1492400,,,,,
2026-05-14 00:00:00+05:30,0.6,0.86,0.46,0.49,618800,1414400,,,,,
2026-05-15 00:00:00+05:30,0.32,0.49,0.32,0.46,296400,1320800,,,,,
