date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,3.96,3.96,3.96,3.96,0,5200,0.3954579585251282,-0.3401503506511817,0.02228778046537633,-0.09425271427663237,0.15237552004200208
2026-04-28 00:00:00+05:30,6.0,6.0,4.68,5.25,72800,62400,0.40548727428969866,-0.4171323670725805,0.024092278450638705,-0.10126188766195911,0.1559379833560119
2026-04-29 00:00:00+05:30,3.65,5.66,3.65,5.36,280800,140400,0.39021777026494714,-0.44227657565019374,0.025972641384461773,-0.09887626084140541,0.1537590727315193
2026-04-30 00:00:00+05:30,6.57,7.96,6.53,6.97,530400,436800,0.3957209801950042,-0.531775233488299,0.02692003921945016,-0.09848754268697656,0.14845485245689827
2026-05-04 00:00:00+05:30,6.4,7.63,5.52,7.44,520000,681200,0.4111658714881817,-0.5719464248601919,0.02803734181537985,-0.10939112527404937,0.13359373858331797
2026-05-05 00:00:00+05:30,6.95,8.59,6.95,7.4,280800,686400,,,,,
2026-05-06 00:00:00+05:30,5.71,7.25,4.84,5.1,592800,754000,,,,,
2026-05-07 00:00:00+05:30,5.25,6.41,5.25,6.33,332800,780000,,,,,
2026-05-08 00:00:00+05:30,7.09,7.6,6.34,6.73,1929200,790400,,,,,
2026-05-11 00:00:00+05:30,5.13,5.16,2.94,3.58,13426400,1596400,,,,,
2026-05-12 00:00:00+05:30,3.62,5.59,3.53,5.31,3031600,1580800,,,,,
2026-05-13 00:00:00+05:30,4.95,6.28,3.95,4.9,1674400,1674400,,,,,
2026-05-14 00:00:00+05:30,3.96,5.12,2.84,3.0,1315600,1872000,,,,,
2026-05-15 00:00:00+05:30,2.84,3.92,2.25,3.73,1814800,1653600,,,,,
