date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,46.7,46.7,46.7,46.7,350,8750,0.5250092305545222,-0.32118892097154805,0.0017395739319070078,-1.1835428018941179,1.404612515563918
2026-04-28 00:00:00+05:30,41.7,41.7,29.55,33.85,5950,10850,0.45102690715281324,-0.28961599430026386,0.0019606673683511744,-0.9877770138336751,1.3233593971597384
2026-04-29 00:00:00+05:30,29.5,40.9,27.1,40.9,18900,18550,0.5062746085660239,-0.3083903029782674,0.001833651813282784,-1.1674331206063167,1.3346327355665064
2026-04-30 00:00:00+05:30,41.65,52.15,39.15,41.2,19950,23100,0.4432464606893859,-0.35342746198922126,0.002303378540781272,-1.060328529077308,1.3532670086867233
2026-05-04 00:00:00+05:30,41.2,41.25,28.75,33.7,24500,25200,0.4409610904823411,-0.326386992003337,0.002426660844900685,-1.1316713714879045,1.2147882643796937
2026-05-05 00:00:00+05:30,32.0,34.1,25.2,25.9,27650,23100,,,,,
2026-05-06 00:00:00+05:30,23.0,29.65,19.45,23.2,39900,29050,,,,,
2026-05-07 00:00:00+05:30,19.0,23.65,8.55,10.15,183400,59500,,,,,
2026-05-08 00:00:00+05:30,9.05,16.7,9.05,13.7,43400,69300,,,,,
2026-05-11 00:00:00+05:30,16.0,23.25,15.75,20.35,102550,127050,,,,,
2026-05-12 00:00:00+05:30,23.95,46.8,23.0,44.25,225400,69650,,,,,
2026-05-13 00:00:00+05:30,44.35,44.35,25.65,31.7,88900,66150,,,,,
2026-05-14 00:00:00+05:30,27.55,39.2,19.65,28.55,52150,78050,,,,,
2026-05-15 00:00:00+05:30,40.0,48.0,34.6,39.3,238350,97650,,,,,
