date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.75,2.8,1.75,2.4,299250,444600,0.3499396930074994,-0.11071826992851497,0.004396764473776336,-0.13093376795767536,0.23195689362233185
2026-04-28 00:00:00+05:30,2.4,2.4,1.95,2.15,363375,534375,0.34524628023854437,-0.10384346398942856,0.0043290715415547545,-0.1257750711049693,0.21770265698868435
2026-04-29 00:00:00+05:30,1.95,1.95,1.45,1.85,411825,500175,0.3452127638124336,-0.09284178069800075,0.004045000159494242,-0.118858937823568,0.19775690838968465
2026-04-30 00:00:00+05:30,2.55,3.5,2.1,2.35,558600,582825,0.34414833769351283,-0.11659062666979247,0.0049476886333224175,-0.13995060130584255,0.22562511306241548
2026-05-04 00:00:00+05:30,2.15,2.5,1.5,1.8,230850,635550,,,,,
2026-05-05 00:00:00+05:30,2.1,2.2,1.35,1.55,259350,722475,,,,,
2026-05-06 00:00:00+05:30,1.35,1.45,1.0,1.05,343425,672600,,,,,
2026-05-07 00:00:00+05:30,1.1,1.3,0.8,0.9,376200,662625,,,,,
2026-05-08 00:00:00+05:30,0.8,1.25,0.8,1.05,215175,669750,,,,,
2026-05-11 00:00:00+05:30,1.1,1.45,1.0,1.35,232275,669750,,,,,
2026-05-12 00:00:00+05:30,1.4,2.85,1.4,2.75,786600,779475,,,,,
2026-05-13 00:00:00+05:30,2.35,2.8,1.4,1.7,1033125,712500,,,,,
2026-05-14 00:00:00+05:30,1.35,1.9,0.95,1.1,431775,745275,,,,,
2026-05-15 00:00:00+05:30,1.35,1.55,1.15,1.4,522975,870675,,,,,
