date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,85.0,93.8,85.0,89.45,177650,324900,0.22138402780873653,-0.7171910651558748,0.0029781198682528793,-0.41398191001932516,1.7353380575746788
2026-04-28 00:00:00+05:30,91.0,91.0,71.2,73.75,215650,379050,0.22640215457424492,-0.6435446240672593,0.0032246620686881187,-0.5453105635449059,1.903958827985692
2026-04-29 00:00:00+05:30,68.05,68.05,41.25,47.1,1244500,518700,0.2229094620269874,-0.4976102838700811,0.003485084626402252,-0.669960600980201,2.0486261697188595
2026-04-30 00:00:00+05:30,55.7,62.45,41.0,46.3,1103425,515375,0.21905535586073133,-0.5043152735822005,0.003616301841984918,-0.66855720071098,2.008865069813823
2026-05-04 00:00:00+05:30,45.0,85.55,40.8,81.75,814625,530100,,,,,
2026-05-05 00:00:00+05:30,80.15,100.55,72.3,97.35,177175,536750,,,,,
2026-05-06 00:00:00+05:30,84.0,87.55,66.35,70.55,148200,513475,,,,,
2026-05-07 00:00:00+05:30,72.1,84.55,70.85,78.3,50825,516325,,,,,
2026-05-08 00:00:00+05:30,88.0,88.0,70.45,72.9,102600,492575,,,,,
2026-05-11 00:00:00+05:30,88.0,138.95,88.0,135.95,146775,494000,,,,,
2026-05-12 00:00:00+05:30,137.0,140.0,124.0,139.8,38000,488775,,,,,
2026-05-13 00:00:00+05:30,199.65,199.65,106.65,108.6,139650,490200,,,,,
2026-05-14 00:00:00+05:30,88.6,103.85,33.0,35.45,1184650,426075,,,,,
2026-05-15 00:00:00+05:30,36.0,36.0,16.9,21.55,8163350,1406000,,,,,
