date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,17.39,17.39,11.1,12.6,2533125,1162875,0.44770497037573126,-0.38151299205883593,0.00866608006232238,-0.26320037230197413,0.37456282982369166
2026-04-28 00:00:00+05:30,11.9,13.09,9.6,10.02,2651250,1627500,0.44371478984425156,-0.3275592862555119,0.008282808403065597,-0.2585912265658849,0.35472643290965694
2026-04-29 00:00:00+05:30,9.5,13.73,9.0,12.73,2548875,1984500,0.42144049535142464,-0.4152851365630703,0.009874325006260289,-0.25738071146039715,0.3653364745216458
2026-04-30 00:00:00+05:30,12.26,13.95,9.15,9.93,3402000,2336250,0.43411884155853897,-0.34189196803685407,0.008992672913221427,-0.26509844996501103,0.34536185090256266
2026-05-04 00:00:00+05:30,10.0,10.0,1.8,3.25,13400625,3446625,0.43993112036205745,-0.14733646231162068,0.005657202744427326,-0.20275713313795368,0.2132623225898454
2026-05-05 00:00:00+05:30,2.4,3.65,2.25,3.05,3942750,3265500,,,,,
2026-05-06 00:00:00+05:30,2.95,3.85,1.8,1.95,2569875,3577875,,,,,
2026-05-07 00:00:00+05:30,1.9,2.0,0.95,1.0,4748625,4297125,,,,,
2026-05-08 00:00:00+05:30,1.0,1.05,0.85,0.9,2947875,4289250,,,,,
2026-05-11 00:00:00+05:30,1.05,1.3,0.85,0.9,1582875,4210500,,,,,
2026-05-12 00:00:00+05:30,0.9,1.15,0.75,1.0,4200000,2236500,,,,,
2026-05-13 00:00:00+05:30,1.0,1.0,0.65,0.7,1425375,2081625,,,,,
2026-05-14 00:00:00+05:30,0.5,0.65,0.4,0.45,1165500,1690500,,,,,
2026-05-15 00:00:00+05:30,0.5,0.65,0.45,0.6,467250,1622250,,,,,
