date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,16.1,17.56,13.94,15.2,157500,70875,0.4681897565545174,0.465595244447039,0.008640007399042525,-0.3414344332137205,0.39052252312381436
2026-04-28 00:00:00+05:30,14.68,16.6,13.78,15.83,241500,115500,0.41630980520258526,0.5131422128298202,0.009748811497529411,-0.32080667933460805,0.39172414764701197
2026-04-29 00:00:00+05:30,17.08,17.12,10.76,11.06,527625,233625,0.4234210465875959,0.41203506002393914,0.009810267535634251,-0.30925270221288753,0.36467218957156144
2026-04-30 00:00:00+05:30,10.9,16.25,10.9,15.0,519750,202125,0.44217296575814014,0.4907169132227632,0.009589850057164636,-0.3471097970655752,0.3751292542910916
2026-05-04 00:00:00+05:30,16.95,46.5,16.65,29.25,1078875,189000,0.4663867904529358,0.7110519210729941,0.007915178689384895,-0.3778312053386271,0.31632584124468355
2026-05-05 00:00:00+05:30,34.05,35.55,23.8,25.2,65625,194250,,,,,
2026-05-06 00:00:00+05:30,24.75,26.9,24.75,26.9,23625,175875,,,,,
2026-05-07 00:00:00+05:30,49.7,49.7,49.7,49.7,2625,175875,,,,,
2026-05-08 00:00:00+05:30,53.55,53.55,53.55,53.55,2625,175875,,,,,
2026-05-11 00:00:00+05:30,43.45,43.45,43.45,43.45,2625,175875,,,,,
2026-05-12 00:00:00+05:30,35.7,37.0,35.7,36.35,5250,173250,,,,,
2026-05-13 00:00:00+05:30,36.35,36.35,36.35,36.35,0,173250,,,,,
2026-05-14 00:00:00+05:30,36.35,36.35,36.35,36.35,0,173250,,,,,
2026-05-15 00:00:00+05:30,36.35,36.35,36.35,36.35,0,173250,,,,,
