date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-05-04 00:00:00+05:30,5.55,14.5,5.05,5.7,3486000,454125,0.4040447696403732,0.26376057030002287,0.008736536335477016,-0.29445766751739905,0.3024798739004477
2026-05-05 00:00:00+05:30,6.85,8.7,3.7,4.2,1971375,514500,,,,,
2026-05-06 00:00:00+05:30,4.3,7.35,3.0,7.05,1735125,593250,,,,,
2026-05-07 00:00:00+05:30,6.9,17.5,6.25,15.6,11258625,1386000,,,,,
2026-05-08 00:00:00+05:30,15.35,17.2,12.4,13.75,5391750,1803375,,,,,
2026-05-11 00:00:00+05:30,11.2,14.95,7.95,11.7,7310625,2113125,,,,,
2026-05-12 00:00:00+05:30,11.55,14.5,6.7,7.0,7602000,2076375,,,,,
2026-05-13 00:00:00+05:30,8.1,15.1,7.7,12.55,10250625,2068500,,,,,
2026-05-14 00:00:00+05:30,14.3,20.6,11.05,16.95,6460125,837375,,,,,
2026-05-15 00:00:00+05:30,18.05,18.25,8.05,8.75,5231625,1438500,,,,,
