date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,9.0,10.25,7.45,7.7,92500,55000,0.3858738786226478,-0.2931891869406261,0.008738164102271951,-0.21329174705782147,0.351065256624169
2026-04-28 00:00:00+05:30,6.4,6.4,5.95,6.1,15000,60000,0.3515263697783558,-0.2687501247032944,0.0093388747235123,-0.18962626720093695,0.3314760709802955
2026-04-29 00:00:00+05:30,5.05,6.55,4.9,6.55,555000,395000,0.36653114006282445,-0.2784334824766843,0.009296195367854924,-0.20537410902374273,0.33075301210920016
2026-04-30 00:00:00+05:30,7.5,8.4,6.55,7.0,125000,430000,0.363755000583094,-0.29993317503168926,0.009956860097853125,-0.21298478660184375,0.3337121277832637
2026-05-04 00:00:00+05:30,6.25,6.5,4.5,6.05,247500,400000,0.37063763319597953,-0.2827908328033718,0.010308198588602845,-0.23300070870233616,0.29944257705214083
2026-05-05 00:00:00+05:30,6.35,6.35,3.55,3.95,665000,372500,,,,,
2026-05-06 00:00:00+05:30,3.7,3.7,1.6,1.75,667500,237500,,,,,
2026-05-07 00:00:00+05:30,1.65,1.9,1.3,1.4,157500,272500,,,,,
2026-05-08 00:00:00+05:30,1.35,1.35,0.75,1.05,517500,337500,,,,,
2026-05-11 00:00:00+05:30,1.6,1.6,0.5,0.7,207500,325000,,,,,
2026-05-12 00:00:00+05:30,0.5,0.6,0.3,0.3,307500,197500,,,,,
2026-05-13 00:00:00+05:30,0.3,0.3,0.25,0.3,20000,197500,,,,,
2026-05-14 00:00:00+05:30,0.3,0.3,0.3,0.3,20000,187500,,,,,
2026-05-15 00:00:00+05:30,0.3,0.3,0.3,0.3,0,187500,,,,,
