date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,47.0,47.3,45.95,46.35,23700,17775,0.46458164984853906,0.8896893311056986,0.004601988674041687,-0.17428515610809872,0.1660464507262072
2026-04-28 00:00:00+05:30,46.35,46.35,46.35,46.35,0,17775,0.6723390857891385,0.7946443895435464,0.004962935436802534,-0.32636028909518816,0.24243106806674952
2026-04-29 00:00:00+05:30,46.35,46.35,46.35,46.35,0,17775,0.8039823389335783,0.7492789781652517,0.004789302117735453,-0.42395135744206447,0.26305771450012
2026-04-30 00:00:00+05:30,46.35,46.35,46.35,46.35,0,17775,0.9160034624508432,0.7184596820233026,0.004595014009531731,-0.5069500192878029,0.2706505134473994
2026-05-04 00:00:00+05:30,46.35,46.35,46.35,46.35,0,17775,,,,,
2026-05-05 00:00:00+05:30,33.15,33.15,28.1,32.45,19750,29625,,,,,
2026-05-06 00:00:00+05:30,32.45,32.45,32.45,32.45,0,29625,,,,,
2026-05-07 00:00:00+05:30,42.35,42.65,42.35,42.65,7900,35550,,,,,
2026-05-08 00:00:00+05:30,37.05,37.4,34.65,34.65,29625,45425,,,,,
2026-05-11 00:00:00+05:30,31.2,31.2,27.35,27.8,82950,77025,,,,,
2026-05-12 00:00:00+05:30,24.0,24.5,21.35,21.85,25675,90850,,,,,
2026-05-13 00:00:00+05:30,24.6,31.25,24.6,31.05,90850,114550,,,,,
2026-05-14 00:00:00+05:30,26.65,29.45,25.0,27.55,207375,225150,,,,,
2026-05-15 00:00:00+05:30,24.0,24.0,17.3,17.35,231075,126400,,,,,
