date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,10.4,11.0,8.1,8.35,758400,1200800,0.4177845171035948,-0.32510915268467167,0.009776779530108352,-0.20891615226346286,0.3172270133949004
2026-04-28 00:00:00+05:30,9.2,10.85,8.45,9.85,1481250,1354850,0.41788773715078414,-0.3739858809412884,0.010636550413745366,-0.21873650720438095,0.32293991004616973
2026-04-29 00:00:00+05:30,9.05,11.65,8.5,11.25,1781450,1718250,0.4210777579540339,-0.4160426253781939,0.01120777948296132,-0.2268907901784244,0.322414213444291
2026-04-30 00:00:00+05:30,14.85,15.45,12.1,12.9,2660325,1672825,0.4328929848553907,-0.4558809099587172,0.011422217684232263,-0.2379982139760641,0.317947841451621
2026-05-04 00:00:00+05:30,11.35,12.45,9.35,10.8,2006600,1544450,,,,,
2026-05-05 00:00:00+05:30,12.0,14.6,11.1,11.75,2745250,1799225,,,,,
2026-05-06 00:00:00+05:30,9.1,10.0,5.25,5.6,3645850,1933525,,,,,
2026-05-07 00:00:00+05:30,5.3,8.95,5.1,7.55,2437150,2134975,,,,,
2026-05-08 00:00:00+05:30,8.45,10.1,8.1,9.25,2125100,2067825,,,,,
2026-05-11 00:00:00+05:30,11.25,14.2,10.85,13.5,2516150,1929575,,,,,
2026-05-12 00:00:00+05:30,19.5,19.5,13.9,16.55,1443725,1789350,,,,,
2026-05-13 00:00:00+05:30,14.25,15.7,9.65,10.4,1803175,1653075,,,,,
2026-05-14 00:00:00+05:30,9.05,14.4,9.05,11.5,1487175,1617525,,,,,
2026-05-15 00:00:00+05:30,13.0,19.4,12.8,19.0,1710350,2052025,,,,,
