date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,35.0,41.0,30.95,36.6,15250,12625,0.33056793696862846,-0.13131313114759813,0.0003998537775095487,-1.8164266227489316,3.433044324282652
2026-04-28 00:00:00+05:30,36.95,41.6,34.0,35.7,13375,11500,0.311480724243369,-0.1383907826239923,0.00045209446049267074,-1.7803340244414025,3.4631018027703426
2026-04-29 00:00:00+05:30,25.7,28.7,19.35,20.15,74125,59375,0.2834158440764407,-0.09469167621672092,0.00038315479105326616,-1.2742457588502152,2.618118934398167
2026-04-30 00:00:00+05:30,24.0,28.0,14.0,15.85,62875,89000,0.2768211298635332,-0.08018466658746137,0.00035202903238785137,-1.1270062791805455,2.275940424591291
2026-05-04 00:00:00+05:30,12.0,14.0,9.35,11.7,17125,87500,,,,,
2026-05-05 00:00:00+05:30,12.05,13.9,8.5,9.0,7250,87000,,,,,
2026-05-06 00:00:00+05:30,8.95,16.5,8.65,15.4,76250,93250,,,,,
2026-05-07 00:00:00+05:30,17.05,21.0,10.4,12.3,107375,109625,,,,,
2026-05-08 00:00:00+05:30,25.0,35.85,17.8,28.45,703000,155000,,,,,
2026-05-11 00:00:00+05:30,29.2,49.05,29.2,41.2,158000,139375,,,,,
2026-05-12 00:00:00+05:30,37.1,63.0,37.1,56.2,73750,139375,,,,,
2026-05-13 00:00:00+05:30,47.0,61.7,31.3,41.0,118750,138250,,,,,
2026-05-14 00:00:00+05:30,32.8,42.55,22.7,24.85,78750,132750,,,,,
2026-05-15 00:00:00+05:30,21.0,24.15,17.0,21.15,68000,130750,,,,,
