date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,36.0,45.25,34.15,35.0,11000,7875,0.2981945407178177,0.1466794121740992,0.00047795848016042537,-2.0462902495675293,3.701752170327153
2026-04-28 00:00:00+05:30,31.1,31.1,25.0,26.95,3625,8375,0.30188274046207964,0.1198873042243851,0.00042226931149565763,-1.806068636982117,3.134965031350063
2026-04-29 00:00:00+05:30,28.0,31.55,22.25,23.0,88375,58500,0.2766919777849797,0.11362951413470967,0.00044795204353892344,-1.6425925807327533,2.9882647756203298
2026-04-30 00:00:00+05:30,17.95,26.65,15.05,19.6,56750,86500,0.26392242394756243,0.10468837358109523,0.00044985924327868224,-1.5106326718944814,2.7729121488370043
2026-05-04 00:00:00+05:30,19.85,29.75,18.45,20.95,68500,103375,,,,,
2026-05-05 00:00:00+05:30,18.9,25.35,17.0,24.45,63875,123625,,,,,
2026-05-06 00:00:00+05:30,30.0,32.0,17.0,19.4,86375,138250,,,,,
2026-05-07 00:00:00+05:30,19.45,41.85,15.0,32.35,231250,160875,,,,,
2026-05-08 00:00:00+05:30,19.95,19.95,3.85,5.0,314375,166375,,,,,
2026-05-11 00:00:00+05:30,4.95,5.0,2.05,3.6,58875,166625,,,,,
2026-05-12 00:00:00+05:30,2.95,3.0,2.0,2.35,39000,147000,,,,,
2026-05-13 00:00:00+05:30,2.6,2.75,1.55,2.15,42875,127750,,,,,
2026-05-14 00:00:00+05:30,2.1,2.3,1.1,1.9,47125,106250,,,,,
2026-05-15 00:00:00+05:30,1.45,2.45,0.95,1.5,25500,91375,,,,,
