date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,15.0,16.35,13.0,13.85,62225,121600,0.3270625664661141,0.20952404034538707,0.002357829229946638,-0.6526880895985118,1.074211734553963
2026-04-28 00:00:00+05:30,14.0,15.45,13.1,14.1,58425,137275,0.33466424738076356,0.2115528426954172,0.002357468648799625,-0.6820080217706712,1.061915384783423
2026-04-29 00:00:00+05:30,16.35,17.5,10.2,11.0,252700,205200,0.34534576218700963,0.1739986915768173,0.002093113150314405,-0.6221416794709993,0.9125781799698175
2026-04-30 00:00:00+05:30,9.15,9.85,6.55,7.9,255075,167675,0.37808117247817535,0.12860166855294414,0.001635819368352211,-0.5459949544489494,0.7128121656225663
2026-05-04 00:00:00+05:30,5.05,5.05,3.0,3.45,190000,192375,0.39006542680187734,0.0685082834955224,0.0011136196158958275,-0.3704034039678283,0.40147258380058154
2026-05-05 00:00:00+05:30,3.0,4.8,2.45,3.7,117325,202350,,,,,
2026-05-06 00:00:00+05:30,5.0,5.0,3.3,4.75,123500,197125,,,,,
2026-05-07 00:00:00+05:30,5.15,5.15,3.7,4.15,64600,199975,,,,,
2026-05-08 00:00:00+05:30,3.5,3.75,3.1,3.3,40375,186675,,,,,
2026-05-11 00:00:00+05:30,2.45,2.45,2.1,2.3,31825,175275,,,,,
2026-05-12 00:00:00+05:30,2.45,2.45,1.2,1.5,104975,154850,,,,,
2026-05-13 00:00:00+05:30,1.55,1.75,1.25,1.3,73150,171950,,,,,
2026-05-14 00:00:00+05:30,1.35,1.35,0.75,1.1,271700,200450,,,,,
2026-05-15 00:00:00+05:30,0.75,1.05,0.75,0.9,69350,197600,,,,,
