date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,23.25,23.25,17.75,18.2,57000,50625,0.29557411248694965,-0.2622171532753902,0.0029686508897243677,-0.5516646720603957,1.2095786142446003
2026-04-28 00:00:00+05:30,17.0,23.6,16.75,21.15,27000,62250,0.2999889873656759,-0.29538455923227247,0.003180356262795945,-0.596748825313163,1.2492952228734207
2026-04-29 00:00:00+05:30,18.0,18.0,15.8,15.95,26625,69000,0.28661386974748887,-0.2501294346673689,0.0030947452045718307,-0.5430626431820061,1.1390955979363835
2026-04-30 00:00:00+05:30,16.5,19.2,15.0,17.1,52125,75000,0.2833112795977424,-0.27104399194423046,0.003345470631101401,-0.5646122299936496,1.1579209287823349
2026-05-04 00:00:00+05:30,13.7,13.75,9.85,10.15,82875,116250,,,,,
2026-05-05 00:00:00+05:30,11.95,13.1,8.8,8.95,73500,90000,,,,,
2026-05-06 00:00:00+05:30,7.0,7.35,3.65,4.05,64875,82500,,,,,
2026-05-07 00:00:00+05:30,3.6,4.7,3.3,4.5,20625,85125,,,,,
2026-05-08 00:00:00+05:30,5.0,7.5,4.85,6.95,33750,86250,,,,,
2026-05-11 00:00:00+05:30,7.65,18.55,7.2,17.0,290250,114750,,,,,
2026-05-12 00:00:00+05:30,19.6,23.0,15.95,22.05,232500,120375,,,,,
2026-05-13 00:00:00+05:30,23.65,29.55,7.3,10.05,2240250,236250,,,,,
2026-05-14 00:00:00+05:30,4.7,4.7,1.25,1.45,390750,192750,,,,,
2026-05-15 00:00:00+05:30,1.45,1.45,0.85,1.0,63000,181875,,,,,
