date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,47.0,58.95,45.0,56.45,606000,358875,0.2961930588845319,0.602967740640532,0.003506182346518767,-0.8624652086883999,1.4315876828771168
2026-04-28 00:00:00+05:30,48.05,60.55,41.7,45.85,341625,362625,0.27173992983804673,0.5675540639184458,0.003998784007112586,-0.8143323196886239,1.4228705822369978
2026-04-29 00:00:00+05:30,47.6,54.0,46.6,50.05,303750,362625,0.26062287793590355,0.6152341886190081,0.004092024231757777,-0.7964555281995328,1.3695844139171935
2026-04-30 00:00:00+05:30,50.0,59.0,45.0,47.3,464250,374625,0.281446254311082,0.57814303642122,0.003977369980065004,-0.866596097479767,1.3675691048080554
2026-05-04 00:00:00+05:30,48.0,60.6,48.0,58.15,218625,357375,,,,,
2026-05-05 00:00:00+05:30,55.0,57.2,46.2,55.95,122250,359250,,,,,
2026-05-06 00:00:00+05:30,57.5,83.65,55.2,78.6,213375,324000,,,,,
2026-05-07 00:00:00+05:30,82.0,89.95,78.0,78.55,49875,317625,,,,,
2026-05-08 00:00:00+05:30,78.0,78.0,60.5,63.95,127500,291750,,,,,
2026-05-11 00:00:00+05:30,57.0,62.35,37.25,39.3,308250,299625,,,,,
2026-05-12 00:00:00+05:30,35.05,41.3,30.8,32.25,981750,318375,,,,,
2026-05-13 00:00:00+05:30,29.85,73.95,25.75,50.5,6398250,356250,,,,,
2026-05-14 00:00:00+05:30,76.15,142.0,63.75,138.25,285000,276750,,,,,
2026-05-15 00:00:00+05:30,136.9,141.0,130.5,131.3,11250,268875,,,,,
