date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,41.6,41.6,41.6,41.6,0,21600,0.3649391397636208,-0.7493206906612228,0.006836833917044572,-0.18760360366262174,0.4058988066652813
2026-04-28 00:00:00+05:30,31.35,31.35,24.75,26.75,140400,108000,0.2685294880009655,-0.7061510255734491,0.009916019544014262,-0.15012493118965745,0.44548007681835106
2026-04-29 00:00:00+05:30,28.75,29.0,15.0,17.6,1107000,303750,0.25475098234815874,-0.5779143155895319,0.011768423233973348,-0.18842720231894897,0.5107478483036103
2026-04-30 00:00:00+05:30,15.45,18.7,13.35,16.5,2674350,364500,0.2542853116637174,-0.5624628447663315,0.012059523034095321,-0.19643827861802401,0.5063307130162995
2026-05-04 00:00:00+05:30,14.7,19.85,13.7,17.35,1591650,407700,,,,,
2026-05-05 00:00:00+05:30,18.45,22.2,18.0,20.65,294300,391500,,,,,
2026-05-06 00:00:00+05:30,19.4,24.4,17.7,23.2,317250,400950,,,,,
2026-05-07 00:00:00+05:30,21.95,36.05,21.95,28.25,502200,436050,,,,,
2026-05-08 00:00:00+05:30,33.4,36.0,31.35,35.25,40500,433350,,,,,
2026-05-11 00:00:00+05:30,36.75,36.95,27.6,29.45,175500,467100,,,,,
2026-05-12 00:00:00+05:30,27.2,30.3,25.0,29.95,98550,459000,,,,,
2026-05-13 00:00:00+05:30,24.5,34.05,24.4,31.45,195750,475200,,,,,
2026-05-14 00:00:00+05:30,26.75,41.55,26.0,40.05,264600,476550,,,,,
2026-05-15 00:00:00+05:30,32.55,32.55,25.5,30.5,187650,479250,,,,,
