date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-30 00:00:00+05:30,1.95,1.95,0.75,0.95,922050,298350,0.30037710162395753,0.05907340905287284,0.0030488751129689705,-0.0922436052841234,0.15121306741464074
2026-05-04 00:00:00+05:30,1.25,1.25,0.6,0.65,603450,437400,,,,,
2026-05-05 00:00:00+05:30,0.6,0.6,0.4,0.45,599400,488700,,,,,
2026-05-06 00:00:00+05:30,0.45,0.5,0.3,0.35,841050,688500,,,,,
2026-05-07 00:00:00+05:30,0.35,0.35,0.15,0.3,938250,430650,,,,,
2026-05-08 00:00:00+05:30,0.3,0.3,0.2,0.2,120150,376650,,,,,
2026-05-11 00:00:00+05:30,0.2,0.3,0.2,0.3,129600,440100,,,,,
2026-05-12 00:00:00+05:30,0.3,0.3,0.2,0.25,139050,349650,,,,,
2026-05-13 00:00:00+05:30,0.25,0.35,0.2,0.3,145800,337500,,,,,
2026-05-14 00:00:00+05:30,0.2,0.3,0.2,0.25,79650,344250,,,,,
2026-05-15 00:00:00+05:30,0.3,0.3,0.2,0.2,125550,326700,,,,,
