date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,107.0,129.0,85.45,100.9,371200,128400,0.5639706335091261,0.5139216944666157,0.0014935101505886084,-1.9708010135499958,1.8872367218722972
2026-04-28 00:00:00+05:30,103.1,118.85,97.2,101.7,315200,170800,0.5330462779623788,0.5358719143242244,0.0015871893451047516,-1.9198606689859523,1.8659742111747601
2026-04-29 00:00:00+05:30,109.1,149.25,109.1,145.2,698000,147200,0.526376291306504,0.65615880631166,0.0014490434030678251,-1.9118670037697634,1.7752434327544209
2026-04-30 00:00:00+05:30,140.0,140.1,104.65,112.65,72000,143200,0.4968091961475364,0.5979145463779211,0.0016831819382296766,-1.8744642911410652,1.789776314340118
2026-05-04 00:00:00+05:30,114.25,118.0,79.5,102.25,217200,171600,0.5309693233499446,0.5721432817027544,0.001750831846147877,-2.1557423816693597,1.6563305442025753
2026-05-05 00:00:00+05:30,104.1,104.1,82.85,90.15,156000,174000,,,,,
2026-05-06 00:00:00+05:30,101.95,124.9,94.8,113.2,120800,151200,,,,,
2026-05-07 00:00:00+05:30,115.0,160.0,115.0,153.55,62800,138400,,,,,
2026-05-08 00:00:00+05:30,156.15,172.2,120.0,123.1,80400,99200,,,,,
2026-05-11 00:00:00+05:30,101.9,116.15,83.65,87.3,56400,119600,,,,,
2026-05-12 00:00:00+05:30,85.4,85.4,37.55,40.0,320400,200400,,,,,
2026-05-13 00:00:00+05:30,45.0,58.35,41.95,50.2,398800,248800,,,,,
2026-05-14 00:00:00+05:30,54.95,54.95,29.05,44.15,331200,256400,,,,,
2026-05-15 00:00:00+05:30,44.2,44.2,24.0,25.05,627600,294800,,,,,
