date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-30 00:00:00+05:30,599.85,599.85,599.85,599.85,0,0,2.5131956874861348,-0.4367882590052441,0.00033880275171574995,-8.56628457130168,1.8224318749083508
2026-05-04 00:00:00+05:30,599.85,599.85,599.85,599.85,0,0,2.689149318965642,-0.44528876060342626,0.00034815188267869966,-9.951648316803453,1.6680797434399361
2026-05-05 00:00:00+05:30,599.85,599.85,599.85,599.85,0,0,,,,,
2026-05-06 00:00:00+05:30,599.85,599.85,599.85,599.85,0,0,,,,,
2026-05-07 00:00:00+05:30,599.85,599.85,599.85,599.85,0,0,,,,,
2026-05-08 00:00:00+05:30,200.0,200.0,200.0,200.0,2400,2400,,,,,
2026-05-11 00:00:00+05:30,200.0,200.0,200.0,200.0,0,2400,,,,,
2026-05-12 00:00:00+05:30,200.0,200.0,200.0,200.0,0,2400,,,,,
2026-05-13 00:00:00+05:30,200.0,200.0,200.0,200.0,0,2400,,,,,
2026-05-14 00:00:00+05:30,200.0,200.0,200.0,200.0,0,2400,,,,,
2026-05-15 00:00:00+05:30,200.0,200.0,200.0,200.0,0,2400,,,,,
