date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,9.1,11.0,8.95,11.0,63750,62625,0.49287679745575724,0.13771321302229228,0.0013175563556217904,-0.6614294752164177,0.7459515879331912
2026-04-28 00:00:00+05:30,10.0,10.35,7.4,7.4,29625,79875,0.45146411916758594,0.10788830620451573,0.001234882875647691,-0.5189916542581492,0.6167765658532353
2026-04-29 00:00:00+05:30,9.5,9.5,6.0,6.15,49125,60375,0.4332460374304186,0.09669450758822246,0.0012069390036530874,-0.4695046733447688,0.5607170925288273
2026-04-30 00:00:00+05:30,4.45,6.3,4.45,6.1,36750,54375,0.45516820806205016,0.09425518021547452,0.0011566644244163165,-0.48846815777943076,0.5363515177655267
2026-05-04 00:00:00+05:30,5.25,5.25,2.9,3.35,63750,57000,0.509781215308532,0.05704452699138945,0.0007943646773549704,-0.38613383226069325,0.3236956636261457
2026-05-05 00:00:00+05:30,4.7,4.7,3.05,3.25,21750,61875,,,,,
2026-05-06 00:00:00+05:30,9.0,13.75,5.9,7.85,1066125,164625,,,,,
2026-05-07 00:00:00+05:30,7.85,10.95,6.4,7.35,328875,145500,,,,,
2026-05-08 00:00:00+05:30,7.35,28.0,7.35,24.3,3042375,331500,,,,,
2026-05-11 00:00:00+05:30,24.35,32.5,20.55,23.9,1925625,243375,,,,,
2026-05-12 00:00:00+05:30,15.0,18.2,9.9,10.5,928875,314250,,,,,
2026-05-13 00:00:00+05:30,9.4,10.5,5.6,6.25,743250,385125,,,,,
2026-05-14 00:00:00+05:30,4.55,4.6,2.55,4.1,410625,318000,,,,,
2026-05-15 00:00:00+05:30,5.05,8.1,3.5,4.25,800250,284250,,,,,
