date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,42.0,46.6,36.9,45.4,14175,8550,0.3538252607728966,-0.3126512928904891,0.0016583098095407788,-1.176337673812102,2.1369431727216552
2026-04-28 00:00:00+05:30,54.6,57.8,52.25,52.25,2925,10350,0.36732353957826164,-0.3423133500014214,0.0016990549020635098,-1.279487567953542,2.162324925468703
2026-04-29 00:00:00+05:30,40.0,41.15,31.25,40.65,9225,15750,0.32947281744381446,-0.3140302400536632,0.001856528035125666,-1.1289446017852265,2.0576432550909898
2026-04-30 00:00:00+05:30,48.5,60.4,48.5,52.1,21375,23175,0.3293527272679816,-0.3840729333907371,0.0020730228320723367,-1.2008831237667603,2.137033185411121
2026-05-04 00:00:00+05:30,29.0,29.8,24.1,24.75,9900,25425,0.3337446886930197,-0.22965718016761139,0.0017040755071736728,-1.1343744214296345,1.6184992164593002
2026-05-05 00:00:00+05:30,24.75,25.2,23.5,23.65,4500,25200,,,,,
2026-05-06 00:00:00+05:30,22.0,22.55,19.75,20.05,14625,26775,,,,,
2026-05-07 00:00:00+05:30,21.95,22.65,14.7,16.7,8325,27450,,,,,
2026-05-08 00:00:00+05:30,18.0,18.0,11.25,12.7,22950,22275,,,,,
2026-05-11 00:00:00+05:30,13.35,20.8,13.0,20.1,16425,23175,,,,,
2026-05-12 00:00:00+05:30,21.6,25.6,17.7,25.05,12825,22950,,,,,
2026-05-13 00:00:00+05:30,19.25,25.15,19.0,22.05,18000,27450,,,,,
2026-05-14 00:00:00+05:30,23.75,23.8,16.4,19.5,21375,34650,,,,,
2026-05-15 00:00:00+05:30,17.8,19.7,13.8,16.6,11925,37350,,,,,
