date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,4.05,6.15,3.7,4.7,581250,555000,0.35525979007946173,0.1769165654708375,0.005040875979743682,-0.24579344471586426,0.3762022126624796
2026-04-28 00:00:00+05:30,5.8,5.8,3.25,3.45,150000,582500,0.3429953437918492,0.14445828646968123,0.004687874927421049,-0.2094072965959049,0.3214555293030834
2026-04-29 00:00:00+05:30,3.3,4.75,3.1,3.55,206250,603750,0.33394413519039723,0.15211829671942706,0.00503529928492994,-0.2170074413134472,0.3293893650925407
2026-04-30 00:00:00+05:30,3.0,3.0,2.5,2.8,248750,657500,0.34228726090830114,0.12592566399052163,0.004451167376076453,-0.19588699047757954,0.2810118942994289
2026-05-04 00:00:00+05:30,3.1,3.7,2.6,2.75,416250,677500,0.3353568447664947,0.13309392007863707,0.00505751860545591,-0.21948729201441386,0.2725604534522806
2026-05-05 00:00:00+05:30,2.5,3.35,2.35,2.45,495000,771250,,,,,
2026-05-06 00:00:00+05:30,2.6,3.7,2.3,3.45,1146250,1193750,,,,,
2026-05-07 00:00:00+05:30,3.45,4.0,2.85,3.35,210000,1126250,,,,,
2026-05-08 00:00:00+05:30,3.55,4.6,3.55,4.05,251250,1115000,,,,,
2026-05-11 00:00:00+05:30,3.9,4.3,2.6,2.65,595000,1180000,,,,,
2026-05-12 00:00:00+05:30,2.15,2.15,1.0,1.2,342500,1181250,,,,,
2026-05-13 00:00:00+05:30,1.5,1.6,1.05,1.15,103750,1180000,,,,,
2026-05-14 00:00:00+05:30,1.15,1.65,1.05,1.5,63750,1148750,,,,,
2026-05-15 00:00:00+05:30,1.2,1.8,1.1,1.15,813750,1097500,,,,,
