date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,12.34,13.4,12.1,12.81,19800,9000,0.39794067927689253,0.5568099556533153,0.013609523913432975,-0.22092140747965225,0.28793344138674765
2026-04-28 00:00:00+05:30,13.3,21.0,13.0,20.85,59400,30600,0.45007289909692777,0.6813903850972327,0.010620217650841281,-0.24325082452391444,0.2665740501982914
2026-04-29 00:00:00+05:30,20.85,20.85,20.85,20.85,0,30600,0.2399244236036693,0.8790210935055343,0.01117038093973155,-0.10659630958170174,0.1510299149983592
2026-04-30 00:00:00+05:30,20.85,20.85,20.85,20.85,0,30600,0.3916611093529073,0.7367258429973484,0.011466463544753296,-0.21075689120284746,0.23730510381165482
2026-05-04 00:00:00+05:30,21.2,25.75,21.2,25.75,55800,43200,0.46349831211597675,0.7772424007743316,0.00942850228475329,-0.24824913470287885,0.2034951395877153
2026-05-05 00:00:00+05:30,23.4,24.0,23.0,23.0,32400,64800,,,,,
2026-05-06 00:00:00+05:30,23.0,23.0,23.0,23.0,0,64800,,,,,
2026-05-07 00:00:00+05:30,31.0,37.2,30.25,37.1,21600,63000,,,,,
2026-05-08 00:00:00+05:30,37.1,37.1,37.1,37.1,0,63000,,,,,
2026-05-11 00:00:00+05:30,37.1,37.1,37.1,37.1,0,63000,,,,,
2026-05-12 00:00:00+05:30,37.1,37.1,37.1,37.1,0,63000,,,,,
2026-05-13 00:00:00+05:30,27.05,32.0,26.95,29.15,50400,77400,,,,,
2026-05-14 00:00:00+05:30,29.15,29.15,29.15,29.15,0,77400,,,,,
2026-05-15 00:00:00+05:30,30.65,30.65,30.65,30.65,5400,72000,,,,,
