date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,7.5,9.76,6.9,9.38,72000,21600,0.39830770811998556,0.45507021843695616,0.013649287456933796,-0.21778829944683892,0.2890410519950803
2026-04-28 00:00:00+05:30,9.4,17.02,8.92,15.61,1276200,207000,0.42143860629319513,0.5985013567627903,0.012287421039529546,-0.2432995983832932,0.28879963990628804
2026-04-29 00:00:00+05:30,17.28,22.98,15.07,18.86,379800,189000,0.40014122223786897,0.6817651535589444,0.011877586261814217,-0.22861572403272726,0.26783172684741285
2026-04-30 00:00:00+05:30,16.5,18.43,13.67,17.1,442800,239400,0.43245704525419515,0.6312531198847278,0.01199744691402083,-0.2555740877871477,0.2741567532046606
2026-05-04 00:00:00+05:30,16.45,20.35,15.55,19.9,223200,208800,0.436996406453682,0.7036311968698988,0.011595170111778958,-0.265622804561113,0.2359490120813026
2026-05-05 00:00:00+05:30,19.9,19.9,19.9,19.9,0,208800,,,,,
2026-05-06 00:00:00+05:30,21.1,26.35,21.1,23.5,117000,163800,,,,,
2026-05-07 00:00:00+05:30,28.0,31.45,27.8,30.05,64800,153000,,,,,
2026-05-08 00:00:00+05:30,32.5,35.55,31.1,31.5,37800,145800,,,,,
2026-05-11 00:00:00+05:30,31.5,31.5,31.5,31.5,0,145800,,,,,
2026-05-12 00:00:00+05:30,25.15,26.3,19.55,20.5,149400,160200,,,,,
2026-05-13 00:00:00+05:30,21.1,25.0,21.1,22.85,28800,147600,,,,,
2026-05-14 00:00:00+05:30,23.5,26.75,19.95,25.35,82800,144000,,,,,
2026-05-15 00:00:00+05:30,26.95,35.0,26.95,35.0,3600,140400,,,,,
