date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,40.18,40.18,39.0,39.5,27000,82800,0.4278111900251144,-0.8546033992491192,0.007320117485441736,-0.0764049163159373,0.16649493621025088
2026-04-28 00:00:00+05:30,38.2,38.5,28.0,28.7,115200,154800,0.34307934703848386,-0.8251504288428549,0.010055620779530936,-0.07314062654456133,0.1923999929989073
2026-04-29 00:00:00+05:30,24.56,26.17,23.58,26.17,12600,151200,0.4481546942276117,-0.6966312075158665,0.010386949652813247,-0.17880459878939978,0.26232308446385555
2026-04-30 00:00:00+05:30,26.17,26.17,26.17,26.17,0,151200,0.33592941580781777,-0.8128014321049148,0.011011470443368254,-0.08218816922412026,0.19546116665631538
2026-05-04 00:00:00+05:30,27.2,28.0,22.75,22.8,48600,171000,0.4023615580644228,-0.7254312721193387,0.012143266576053212,-0.16808776749090665,0.2275176971582349
2026-05-05 00:00:00+05:30,24.85,25.55,23.35,23.8,21600,167400,,,,,
2026-05-06 00:00:00+05:30,19.0,19.85,16.15,18.1,262800,266400,,,,,
2026-05-07 00:00:00+05:30,17.85,17.85,12.8,13.65,597600,334800,,,,,
2026-05-08 00:00:00+05:30,12.4,14.25,9.35,12.1,527400,437400,,,,,
2026-05-11 00:00:00+05:30,13.7,15.5,12.35,13.35,280800,374400,,,,,
2026-05-12 00:00:00+05:30,16.9,20.6,14.25,19.35,311400,415800,,,,,
2026-05-13 00:00:00+05:30,19.65,19.65,14.35,16.0,280800,367200,,,,,
2026-05-14 00:00:00+05:30,12.15,17.7,9.0,11.9,484200,367200,,,,,
2026-05-15 00:00:00+05:30,9.3,9.3,3.25,5.55,4129200,523800,,,,,
