date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,18.1,21.0,17.45,18.1,292500,302500,0.31338842237728115,0.5607349162993034,0.009875612104944531,-0.3133583341940694,0.5023761050984478
2026-04-28 00:00:00+05:30,16.65,17.3,15.65,16.15,241250,372500,0.30095983905346974,0.5420086298182321,0.010572921087591244,-0.3064032303295523,0.4946331425570464
2026-04-29 00:00:00+05:30,16.0,20.55,15.9,18.3,392500,358750,0.28231885926338024,0.6077693224683258,0.010975532894665593,-0.29527474460847614,0.4766132275966892
2026-04-30 00:00:00+05:30,16.35,17.3,10.5,11.4,1201250,666250,0.3038445421505509,0.4453140852030377,0.011037778525671916,-0.3050785166170971,0.46566652006249015
2026-05-04 00:00:00+05:30,12.4,15.0,11.6,12.15,736250,608750,0.306305046562261,0.4842567980426518,0.011894844268830368,-0.33988920240574805,0.4361446511672415
2026-05-05 00:00:00+05:30,12.75,21.6,12.65,20.35,2650000,522500,,,,,
2026-05-06 00:00:00+05:30,23.45,24.8,19.05,24.2,482500,503750,,,,,
2026-05-07 00:00:00+05:30,25.85,29.5,20.5,26.6,272500,487500,,,,,
2026-05-08 00:00:00+05:30,32.0,42.0,25.3,40.35,256250,442500,,,,,
2026-05-11 00:00:00+05:30,33.1,33.9,26.85,27.1,55000,440000,,,,,
2026-05-12 00:00:00+05:30,24.65,27.1,23.8,25.85,42500,428750,,,,,
2026-05-13 00:00:00+05:30,18.0,21.25,18.0,18.55,50000,433750,,,,,
2026-05-14 00:00:00+05:30,20.6,21.35,14.3,18.2,163750,416250,,,,,
2026-05-15 00:00:00+05:30,19.5,22.9,19.5,20.8,31250,406250,,,,,
