date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,40.25,40.25,40.25,40.25,0,1300,0.3770079983763224,-0.28956511369451954,0.0016317066722770148,-1.1274600588643946,1.9020410078789036
2026-04-28 00:00:00+05:30,65.0,65.35,45.6,47.35,4875,3575,0.3285618446060503,-0.37267533964915267,0.0021673352068747984,-1.044263581963954,2.0112580733278365
2026-04-29 00:00:00+05:30,31.0,37.2,27.5,35.05,9425,7150,0.32436032343828564,-0.3045832461747545,0.0020352552386472445,-1.003036118412907,1.8563210487676554
2026-04-30 00:00:00+05:30,47.0,54.95,44.8,46.8,20150,12025,0.3120963412599926,-0.3958837009132795,0.002426351644385486,-1.0337686697035708,1.9602226309288977
2026-05-04 00:00:00+05:30,28.25,30.4,19.55,23.25,17225,12025,0.33863036120130685,-0.23205421208148613,0.0018507460023288829,-1.0574434548771972,1.4858650036280296
2026-05-05 00:00:00+05:30,23.25,23.25,23.25,23.25,0,12025,,,,,
2026-05-06 00:00:00+05:30,23.0,30.45,18.8,18.8,4875,13650,,,,,
2026-05-07 00:00:00+05:30,16.0,16.0,16.0,16.0,325,13650,,,,,
2026-05-08 00:00:00+05:30,54.9,94.45,54.9,86.4,163800,22425,,,,,
2026-05-11 00:00:00+05:30,97.6,124.8,97.6,121.75,14950,21125,,,,,
2026-05-12 00:00:00+05:30,99.0,113.25,99.0,112.0,5200,20800,,,,,
2026-05-13 00:00:00+05:30,124.7,127.2,101.0,105.0,3250,20150,,,,,
2026-05-14 00:00:00+05:30,105.0,105.0,105.0,105.0,0,20150,,,,,
2026-05-15 00:00:00+05:30,121.9,152.15,121.9,151.3,9100,16250,,,,,
