date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,155.0,199.4,134.05,181.0,149100,39700,0.30374114299828514,0.45358898226069555,0.0007145420638334378,-4.279390270777605,7.234097377703081
2026-04-28 00:00:00+05:30,187.05,189.35,148.0,152.3,81600,54500,0.2965193668492846,0.4163539415695047,0.0007385092388818055,-4.130249162816169,6.950783372636769
2026-04-29 00:00:00+05:30,167.95,190.0,155.1,184.95,149600,49500,0.28376239602449765,0.4882990201239138,0.0007907765624291935,-4.259150501508379,7.086597904322955
2026-04-30 00:00:00+05:30,175.0,190.75,143.05,182.35,122400,56900,0.30786600836951367,0.46664958313750593,0.0007440577566503717,-4.592670950542139,6.899372520654548
2026-05-04 00:00:00+05:30,195.8,232.0,167.95,208.65,367100,64200,,,,,
2026-05-05 00:00:00+05:30,204.95,228.5,178.0,219.65,116600,60100,,,,,
2026-05-06 00:00:00+05:30,241.95,298.35,203.8,251.7,60200,48000,,,,,
2026-05-07 00:00:00+05:30,252.65,290.0,236.7,243.7,8400,46700,,,,,
2026-05-08 00:00:00+05:30,260.1,267.75,222.95,237.25,15900,44500,,,,,
2026-05-11 00:00:00+05:30,218.0,295.15,207.35,242.95,38000,50900,,,,,
2026-05-12 00:00:00+05:30,223.05,231.05,178.95,187.3,29200,52000,,,,,
2026-05-13 00:00:00+05:30,222.0,336.25,188.45,282.7,18100,48300,,,,,
2026-05-14 00:00:00+05:30,301.35,382.7,300.95,364.4,4100,46600,,,,,
2026-05-15 00:00:00+05:30,353.45,388.3,223.85,241.1,30400,37100,,,,,
