date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,19.75,19.75,19.75,19.75,0,0,0.5029549136067297,-0.17991392688187513,0.0013865425928681308,-0.8093948613419114,0.9867441495670796
2026-04-28 00:00:00+05:30,19.75,19.75,19.75,19.75,0,0,0.5479351236383336,-0.16792488827260743,0.0012212747916470503,-0.8776347925270829,0.9419543210949988
2026-04-29 00:00:00+05:30,19.75,19.75,19.75,19.75,0,0,0.5113471624192593,-0.18332186713470344,0.0014351446506589876,-0.8620975665240506,0.9599643030182671
2026-05-05 00:00:00+05:30,10.2,10.2,10.2,10.2,1875,1875,,,,,
2026-05-06 00:00:00+05:30,9.3,9.3,4.05,4.85,83125,28125,,,,,
2026-05-07 00:00:00+05:30,5.8,6.9,5.05,5.15,28125,35625,,,,,
2026-05-08 00:00:00+05:30,6.55,7.2,5.6,6.0,20000,48750,,,,,
2026-05-11 00:00:00+05:30,7.25,10.45,6.2,9.7,26875,50000,,,,,
2026-05-12 00:00:00+05:30,12.0,14.85,9.3,13.45,155625,55000,,,,,
2026-05-13 00:00:00+05:30,17.0,19.7,5.75,6.8,571875,76250,,,,,
2026-05-14 00:00:00+05:30,6.85,7.75,2.7,2.85,111250,70000,,,,,
2026-05-15 00:00:00+05:30,2.5,2.5,0.75,1.25,61875,51875,,,,,
