date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,73.0,73.0,73.0,73.0,0,3750,,,,,
2026-04-28 00:00:00+05:30,73.0,73.0,73.0,73.0,0,3750,,,,,
2026-04-29 00:00:00+05:30,73.0,73.0,73.0,73.0,0,3750,,,,,
2026-04-30 00:00:00+05:30,77.0,78.05,77.0,77.8,3125,4375,0.23714959437483651,0.8090647972273117,0.003250678564583866,-0.6150269845090905,0.9610166898244212
2026-05-04 00:00:00+05:30,64.6,64.6,48.15,50.55,52500,19375,,,,,
2026-05-05 00:00:00+05:30,49.9,49.9,38.2,40.45,200000,39375,,,,,
2026-05-06 00:00:00+05:30,44.85,76.75,43.15,64.85,209375,62500,,,,,
2026-05-07 00:00:00+05:30,63.55,64.85,56.25,61.55,30000,66250,,,,,
2026-05-08 00:00:00+05:30,61.55,61.55,61.55,61.55,0,66250,,,,,
2026-05-11 00:00:00+05:30,43.0,54.7,41.75,45.0,120625,86875,,,,,
2026-05-12 00:00:00+05:30,50.0,54.65,39.7,43.15,548125,185000,,,,,
2026-05-13 00:00:00+05:30,28.25,58.95,22.25,31.15,3457500,225000,,,,,
2026-05-14 00:00:00+05:30,32.2,56.75,24.45,52.75,1215000,163125,,,,,
2026-05-15 00:00:00+05:30,55.0,87.3,55.0,82.3,61875,148750,,,,,
