date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,107.95,110.4,94.0,95.9,5400,7000,0.327368031106142,0.25312373712970915,0.0004831932251343478,-3.9571469361892473,6.46822294960191
2026-04-28 00:00:00+05:30,100.7,113.4,69.15,74.25,17900,11400,0.33688367999418745,0.20826255030138136,0.00043465767506149685,-3.628194593981858,5.617144336135698
2026-04-29 00:00:00+05:30,80.0,121.35,75.1,78.6,82100,32300,0.3058229749958441,0.23412427108171496,0.0005128180771644676,-3.681838327821511,5.996553469007128
2026-04-30 00:00:00+05:30,60.95,75.0,45.05,67.95,35200,36100,0.3245119146099261,0.2046065191475961,0.0004609297419045309,-3.607322315275748,5.384717094367712
2026-05-04 00:00:00+05:30,70.05,114.2,69.1,100.95,95500,40200,,,,,
2026-05-05 00:00:00+05:30,81.95,104.0,72.95,89.5,53800,38100,,,,,
2026-05-06 00:00:00+05:30,94.9,109.5,61.0,88.95,67000,58400,,,,,
2026-05-07 00:00:00+05:30,93.35,138.0,86.0,87.55,222800,45100,,,,,
2026-05-08 00:00:00+05:30,65.05,101.55,65.05,82.75,40900,41400,,,,,
2026-05-11 00:00:00+05:30,83.6,83.6,51.45,53.6,35900,43000,,,,,
2026-05-12 00:00:00+05:30,55.9,61.65,32.2,34.0,31600,46000,,,,,
2026-05-13 00:00:00+05:30,35.7,35.75,15.0,19.95,45600,41100,,,,,
2026-05-14 00:00:00+05:30,19.4,27.25,11.8,21.6,21300,38700,,,,,
2026-05-15 00:00:00+05:30,23.8,30.4,18.15,19.7,39500,36900,,,,,
