date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,16.55,16.55,16.55,16.55,0,10800,0.3728895798958028,-0.5145042702553932,0.010765044268730263,-0.21933595045723145,0.39595857509538845
2026-04-28 00:00:00+05:30,15.4,16.6,14.75,15.55,163800,88200,0.4022115994475999,-0.47248740584150417,0.010028445592811188,-0.24930770890245607,0.3927020123170909
2026-04-29 00:00:00+05:30,14.75,14.75,9.9,12.05,275400,144000,0.39958069110443645,-0.4011136292044378,0.009788206908264997,-0.2546919287666904,0.3821799338357997
2026-04-30 00:00:00+05:30,14.9,15.6,12.75,13.2,176400,156600,0.4049516920549886,-0.43035046269984834,0.010081247799499702,-0.26441151261117823,0.3780323719094563
2026-05-04 00:00:00+05:30,9.45,15.3,6.4,11.35,900000,196200,0.36474472735811175,-0.4455795438261717,0.012292358524401713,-0.2582902740419164,0.34838858725858446
2026-05-05 00:00:00+05:30,10.6,10.6,6.3,9.2,478800,232200,,,,,
2026-05-06 00:00:00+05:30,8.4,21.4,7.3,13.15,730800,183600,,,,,
2026-05-07 00:00:00+05:30,14.3,14.3,6.95,7.35,711000,160200,,,,,
2026-05-08 00:00:00+05:30,8.1,8.65,6.55,8.0,117000,136800,,,,,
2026-05-11 00:00:00+05:30,9.45,12.1,9.45,11.45,261000,136800,,,,,
2026-05-12 00:00:00+05:30,14.65,15.6,14.65,15.4,23400,138600,,,,,
2026-05-13 00:00:00+05:30,13.6,13.6,13.25,13.35,7200,135000,,,,,
2026-05-14 00:00:00+05:30,11.3,16.7,11.1,12.55,37800,133200,,,,,
2026-05-15 00:00:00+05:30,12.55,12.55,12.55,12.55,0,133200,,,,,
