date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,8.75,9.95,8.6,9.55,80000,90000,0.33486272231639674,-0.4372670302804912,0.014195652969803846,-0.16394396153191287,0.32656503126630126
2026-04-28 00:00:00+05:30,9.55,11.15,9.55,11.05,525000,285000,0.33701869787163335,-0.48792408198774717,0.014700389818590499,-0.1659364523186771,0.32095137044448485
2026-04-29 00:00:00+05:30,8.95,15.0,6.3,12.9,4297500,495000,0.3005701531785418,-0.5904844482598453,0.01669545868897231,-0.1352907218637902,0.30098342034510284
2026-04-30 00:00:00+05:30,13.45,15.8,11.2,11.55,425000,575000,0.30226854859753616,-0.5555625350793051,0.017065973713004185,-0.145429528712336,0.30256380606964156
2026-05-04 00:00:00+05:30,8.9,10.4,7.85,8.9,587500,497500,0.2725585208523678,-0.5319362737026345,0.02055264184207077,-0.14589250777349208,0.2822952869544836
2026-05-05 00:00:00+05:30,9.95,10.1,6.4,7.1,932500,465000,,,,,
2026-05-06 00:00:00+05:30,6.3,8.7,5.35,6.15,892500,527500,,,,,
2026-05-07 00:00:00+05:30,6.3,7.65,4.5,4.7,647500,695000,,,,,
2026-05-08 00:00:00+05:30,5.7,7.3,4.25,4.75,1332500,667500,,,,,
2026-05-11 00:00:00+05:30,5.95,7.25,4.9,6.7,920000,680000,,,,,
2026-05-12 00:00:00+05:30,6.75,11.8,5.95,10.85,627500,645000,,,,,
2026-05-13 00:00:00+05:30,13.0,16.2,11.2,14.7,167500,620000,,,,,
2026-05-14 00:00:00+05:30,15.0,15.55,11.95,14.2,105000,582500,,,,,
2026-05-15 00:00:00+05:30,14.2,14.2,14.2,14.2,0,582500,,,,,
