date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,2.2,2.25,1.75,2.15,505000,735000,0.35619817349908595,0.14751126649165203,0.007809619888433831,-0.12470498721835782,0.1911036955111801
2026-04-28 00:00:00+05:30,2.0,2.0,1.55,1.65,425000,920000,0.36066159348621224,0.12040681262617642,0.00690757207466589,-0.10987990014583401,0.1613918905964931
2026-04-29 00:00:00+05:30,1.9,3.0,0.65,0.85,9825000,2615000,0.34955350729250584,0.07308987992322849,0.005126890061503009,-0.07313517997952136,0.10748949783914617
2026-04-30 00:00:00+05:30,0.6,0.85,0.5,0.8,6132500,3225000,0.33664082674042317,0.07223598098884669,0.005335131022298367,-0.07174631133011776,0.10534278985582385
2026-05-04 00:00:00+05:30,0.85,0.9,0.55,0.6,4667500,3507500,0.3295111775915569,0.06121734528408906,0.005173222014054639,-0.06737707167685635,0.08590283124473412
2026-05-05 00:00:00+05:30,0.5,0.65,0.35,0.55,5987500,3055000,,,,,
2026-05-06 00:00:00+05:30,0.6,0.75,0.45,0.55,3472500,2597500,,,,,
2026-05-07 00:00:00+05:30,0.55,0.65,0.35,0.6,1622500,2665000,,,,,
2026-05-08 00:00:00+05:30,0.5,0.6,0.35,0.55,1545000,2362500,,,,,
2026-05-11 00:00:00+05:30,0.5,0.6,0.35,0.35,2035000,2522500,,,,,
2026-05-12 00:00:00+05:30,0.35,0.4,0.2,0.25,1550000,2375000,,,,,
2026-05-13 00:00:00+05:30,0.25,0.25,0.1,0.15,1745000,1910000,,,,,
2026-05-14 00:00:00+05:30,0.15,0.15,0.1,0.1,170000,1890000,,,,,
2026-05-15 00:00:00+05:30,0.1,0.15,0.1,0.1,545000,1672500,,,,,
