date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1996.5,1996.5,1996.5,1996.5,0,0,0.7471304518020536,0.6028429221074254,9.134720710795372e-05,-29.862200672253966,21.78757856067029
2026-04-28 00:00:00+05:30,1996.5,1996.5,1996.5,1996.5,0,0,0.5380186236323361,0.7020878403527673,0.00011199901937666168,-21.39379750226115,19.935366392354666
2026-04-29 00:00:00+05:30,2294.1,2346.95,2294.1,2346.95,50,0,0.6493296685626845,0.702328650346737,9.348631058730974e-05,-25.984596394948532,19.774345334441666
2026-04-30 00:00:00+05:30,1500.0,1547.3,954.0,1219.05,2650,1300,0.4549980788129069,0.6055387599021044,0.00015924185903324126,-19.820254250126812,20.44692535119375
2026-05-04 00:00:00+05:30,1349.95,1350.0,690.0,820.25,12850,4200,0.4564502906628027,0.5053125023071358,0.00018414453742454247,-21.23302277548679,18.931751105755783
2026-05-05 00:00:00+05:30,863.2,919.95,672.7,724.3,10150,5300,,,,,
2026-05-06 00:00:00+05:30,899.95,1600.0,899.95,1348.9,23775,4575,,,,,
2026-05-07 00:00:00+05:30,1340.0,1930.25,1248.45,1710.4,2325,3650,,,,,
2026-05-08 00:00:00+05:30,1588.75,2000.0,1588.75,1867.1,800,3550,,,,,
2026-05-11 00:00:00+05:30,1593.85,1685.85,1550.0,1685.85,100,3475,,,,,
2026-05-12 00:00:00+05:30,1100.0,1150.0,994.85,1080.0,525,3325,,,,,
2026-05-13 00:00:00+05:30,929.35,1199.0,929.0,1031.8,550,3375,,,,,
2026-05-14 00:00:00+05:30,1031.8,1163.8,640.0,1083.6,2900,3150,,,,,
2026-05-15 00:00:00+05:30,1163.8,1719.55,1003.0,1233.55,425,3050,,,,,
