date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1300.0,1674.95,1229.0,1629.15,2925,3125,0.7593860765817054,-0.4436775460615643,9.205167637816516e-05,-27.34381378302471,22.31575509717864
2026-04-28 00:00:00+05:30,1674.95,1674.95,1205.0,1230.25,3575,4025,0.7254325569056761,-0.37730039374199764,9.105215182043609e-05,-26.693555169382606,21.852440633730595
2026-04-29 00:00:00+05:30,1200.0,1200.0,856.0,1035.1,10175,5225,0.6839099654292997,-0.3529707700202571,9.518152047203301e-05,-25.352859500197827,21.205104494929696
2026-04-30 00:00:00+05:30,1200.05,1700.0,1058.75,1358.6,28300,5350,0.6409335004875298,-0.4663412249305976,0.00011675274231572482,-24.13369414104818,21.117440135590833
2026-05-04 00:00:00+05:30,1249.75,1808.45,1170.65,1479.35,5750,5875,0.6040972414508243,-0.5512528750553476,0.00013800032274358142,-23.618665060899765,18.776965688931938
2026-05-05 00:00:00+05:30,1436.35,1700.0,1418.0,1567.3,1775,5825,,,,,
2026-05-06 00:00:00+05:30,1291.0,1291.0,821.15,872.0,27125,9100,,,,,
2026-05-07 00:00:00+05:30,831.0,955.45,510.0,622.45,16550,9200,,,,,
2026-05-08 00:00:00+05:30,653.6,710.9,464.95,533.6,7475,9025,,,,,
2026-05-11 00:00:00+05:30,555.0,675.0,495.0,567.75,4300,7975,,,,,
2026-05-12 00:00:00+05:30,685.0,940.0,600.0,879.1,7150,7475,,,,,
2026-05-13 00:00:00+05:30,672.15,890.0,660.0,801.75,4175,7325,,,,,
2026-05-14 00:00:00+05:30,660.0,1090.0,539.4,574.7,5075,6725,,,,,
2026-05-15 00:00:00+05:30,546.0,623.8,285.0,528.3,26350,7475,,,,,
