date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,100.8,100.8,100.8,100.8,0,0,1.285865111484504,-0.34956830308743714,0.0010709498577925961,-2.1294163716188392,0.9953694798133284
2026-04-28 00:00:00+05:30,10.85,10.85,9.4,9.75,20150,18600,0.3221810409419276,-0.19769624632601213,0.0032741740156315494,-0.38630645614509923,0.7327066479562901
2026-04-29 00:00:00+05:30,7.8,13.5,7.8,13.15,37200,16275,0.32391903900014946,-0.25432677765511424,0.003892027612063071,-0.4445567027837123,0.8156282959978858
2026-04-30 00:00:00+05:30,13.15,13.15,13.15,13.15,0,16275,0.2892641536225574,-0.28452284990966203,0.0047608020278210525,-0.41573307923615327,0.835625283804827
2026-05-04 00:00:00+05:30,7.25,7.25,6.4,7.05,3100,16275,0.32087651282840396,-0.1695429577813623,0.0033652122666424753,-0.40095698549028286,0.5909828292278917
2026-05-05 00:00:00+05:30,7.05,7.05,7.05,7.05,0,16275,,,,,
2026-05-06 00:00:00+05:30,6.75,7.9,4.75,4.8,13950,19375,,,,,
2026-05-07 00:00:00+05:30,5.6,5.6,5.35,5.5,6200,17050,,,,,
2026-05-08 00:00:00+05:30,4.75,5.85,4.15,4.95,19375,24800,,,,,
2026-05-11 00:00:00+05:30,4.75,4.75,2.85,3.2,43400,38750,,,,,
2026-05-12 00:00:00+05:30,3.3,6.2,3.3,6.15,58125,45725,,,,,
2026-05-13 00:00:00+05:30,4.9,5.55,3.1,4.2,19375,41075,,,,,
2026-05-14 00:00:00+05:30,3.0,3.5,1.95,2.15,17825,32550,,,,,
2026-05-15 00:00:00+05:30,2.35,2.4,2.05,2.05,6200,28675,,,,,
