date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,22.4,27.15,22.25,26.35,31000,22475,0.33154527490234276,0.4254460608325588,0.004397279765000182,-0.669939125025606,1.0537721337573522
2026-04-28 00:00:00+05:30,29.0,29.0,19.45,21.05,56575,41850,0.2954773807635752,0.3981516493525717,0.004955099649542241,-0.6003081551676877,1.0169627075616143
2026-04-29 00:00:00+05:30,20.0,22.6,12.95,13.4,93775,49600,0.281539860552812,0.30502557812120323,0.004891590948239635,-0.5129458541737119,0.8909840300870365
2026-04-30 00:00:00+05:30,14.3,14.85,9.25,10.85,72075,65875,0.297962326623814,0.2558427285328739,0.004382506851028719,-0.4941423580197836,0.7923568052531027
2026-05-04 00:00:00+05:30,16.0,23.6,14.8,19.0,159650,40300,0.3088584259806878,0.38964597520702227,0.005308656308131024,-0.6926425952280877,0.8973637739913283
2026-05-05 00:00:00+05:30,17.2,18.0,12.7,15.9,34875,43400,,,,,
2026-05-06 00:00:00+05:30,15.0,19.35,12.95,18.3,82150,52700,,,,,
2026-05-07 00:00:00+05:30,18.0,18.0,13.5,13.8,43400,66650,,,,,
2026-05-08 00:00:00+05:30,10.0,23.15,10.0,15.8,730825,185225,,,,,
2026-05-11 00:00:00+05:30,17.0,30.4,16.6,27.0,2097150,502975,,,,,
2026-05-12 00:00:00+05:30,30.0,30.0,14.2,14.75,1451575,503750,,,,,
2026-05-13 00:00:00+05:30,12.0,22.85,12.0,16.05,605275,462675,,,,,
2026-05-14 00:00:00+05:30,18.45,23.05,14.3,19.85,985025,631625,,,,,
2026-05-15 00:00:00+05:30,21.55,22.0,13.45,14.2,630075,530875,,,,,
