date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,7.0,7.0,6.9,6.9,2625,3750,0.5657211698836703,-0.04295531318792778,0.0002462431585324345,-0.5646042363641466,0.5983496064610374
2026-04-28 00:00:00+05:30,6.9,6.9,6.9,6.9,0,3750,0.6312805148737551,-0.03835525057930811,0.00019815154005567025,-0.6073528453911097,0.5544284791874309
2026-04-29 00:00:00+05:30,3.0,3.65,2.8,3.5,28125,26250,0.5744581832829364,-0.023453837262662924,0.00014687512606975002,-0.3761785621129588,0.36367723960230436
2026-04-30 00:00:00+05:30,2.7,3.45,2.7,3.05,20625,34875,0.5670338446949575,-0.02145910129589723,0.00014112592683329764,-0.35017746056681376,0.3300622183840774
2026-05-04 00:00:00+05:30,2.0,2.3,2.0,2.15,22125,48375,0.5736731949230744,-0.016911511044514493,0.0001244974650090691,-0.31400087930254117,0.24665749822196176
2026-05-05 00:00:00+05:30,2.4,2.4,1.95,2.0,18375,36750,,,,,
2026-05-06 00:00:00+05:30,2.0,2.2,1.6,1.75,10125,32625,,,,,
2026-05-07 00:00:00+05:30,2.0,2.0,2.0,2.0,10125,25500,,,,,
2026-05-08 00:00:00+05:30,2.1,2.35,1.65,1.8,8250,19500,,,,,
2026-05-11 00:00:00+05:30,2.15,2.15,1.95,1.95,4500,19875,,,,,
2026-05-12 00:00:00+05:30,2.0,2.1,2.0,2.1,2625,18000,,,,,
2026-05-13 00:00:00+05:30,1.6,1.6,1.6,1.6,375,18000,,,,,
2026-05-14 00:00:00+05:30,1.6,1.6,1.6,1.6,0,18000,,,,,
2026-05-15 00:00:00+05:30,1.0,1.1,0.95,0.95,15000,3750,,,,,
