date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,2.03,2.03,2.03,2.03,6975,48825,0.3938176807145148,-0.28792803394855226,0.03210004893094719,-0.057240964520188856,0.09206464531147658
2026-04-28 00:00:00+05:30,1.6,1.6,1.47,1.49,20925,55800,0.40046847438650046,-0.22492661853579676,0.027625374123515338,-0.05393574285210147,0.08127408546668806
2026-04-29 00:00:00+05:30,1.55,1.68,1.39,1.67,348750,160425,0.38725764405661517,-0.2583033041939242,0.031828540815281095,-0.056068944953349235,0.08478362104690211
2026-04-30 00:00:00+05:30,2.16,2.16,1.53,1.56,1088100,843975,0.38077075447837444,-0.2524882146350782,0.03259719795184872,-0.055588068331904626,0.08221454760350527
2026-05-04 00:00:00+05:30,1.44,1.45,0.79,1.01,1255500,997425,0.40881304155762066,-0.17913305949719127,0.026354824388456197,-0.055682486151230545,0.06351952884394477
2026-05-05 00:00:00+05:30,1.31,1.67,1.17,1.21,537075,934650,,,,,
2026-05-06 00:00:00+05:30,1.21,1.34,0.6,0.64,725400,1011375,,,,,
2026-05-07 00:00:00+05:30,0.61,0.62,0.47,0.48,327825,1039275,,,,,
2026-05-08 00:00:00+05:30,0.44,0.45,0.36,0.36,983475,753300,,,,,
2026-05-11 00:00:00+05:30,0.7,0.9,0.6,0.69,320850,864900,,,,,
2026-05-12 00:00:00+05:30,0.93,1.35,0.93,1.29,334800,718425,,,,,
2026-05-13 00:00:00+05:30,1.17,1.34,0.66,0.78,390600,669600,,,,,
2026-05-14 00:00:00+05:30,0.68,1.01,0.5,0.57,355725,683550,,,,,
2026-05-15 00:00:00+05:30,0.47,0.53,0.38,0.53,341775,676575,,,,,
