date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,169.05,169.05,169.05,169.05,0,0,0.4083152026482166,0.7204134493656894,0.0013825466610511209,-1.6522068861505381,2.0044279373471605
2026-04-28 00:00:00+05:30,169.05,169.05,169.05,169.05,0,0,0.4090402701901879,0.7253240772107317,0.0013910167963906764,-1.6708507242864616,1.954501382428453
2026-04-29 00:00:00+05:30,300.0,300.0,300.0,300.0,275,275,0.4255901791785707,0.8875431650409144,0.0007253416789661954,-1.2379083474359402,1.1821768875272196
2026-04-30 00:00:00+05:30,300.0,300.0,300.0,300.0,0,275,0.5799886980843015,0.8081424876792667,0.0007834492851757285,-2.099800908051787,1.6400681432765492
2026-05-04 00:00:00+05:30,300.0,300.0,300.0,300.0,0,275,0.798637979647097,0.739486907386951,0.0007471917380213954,-3.4451968575516645,1.76672489937565
2026-05-05 00:00:00+05:30,300.0,300.0,300.0,300.0,0,275,,,,,
2026-05-06 00:00:00+05:30,295.0,295.0,295.0,295.0,275,550,,,,,
2026-05-07 00:00:00+05:30,390.0,395.8,378.1,378.1,2475,1650,,,,,
2026-05-08 00:00:00+05:30,378.1,378.1,378.1,378.1,0,1650,,,,,
2026-05-11 00:00:00+05:30,430.0,430.0,415.05,415.05,1375,550,,,,,
2026-05-12 00:00:00+05:30,415.05,415.05,415.05,415.05,0,550,,,,,
2026-05-13 00:00:00+05:30,450.0,450.0,450.0,450.0,275,275,,,,,
2026-05-14 00:00:00+05:30,450.0,450.0,450.0,450.0,0,275,,,,,
2026-05-15 00:00:00+05:30,450.0,450.0,450.0,450.0,0,275,,,,,
