date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,435.0,435.0,435.0,435.0,275,1650,,,,,
2026-04-28 00:00:00+05:30,443.0,443.0,443.0,443.0,275,1375,0.6990817416512111,0.9319689382017955,0.00037178685555200607,-1.0525664985319056,0.6637774567638431
2026-04-29 00:00:00+05:30,448.3,448.3,447.9,447.9,1925,3300,,,,,
2026-04-30 00:00:00+05:30,447.9,447.9,447.9,447.9,0,3300,0.6416092831542611,0.9548057250891882,0.00030266286014152,-0.80711971201519,0.4658832059343526
2026-05-04 00:00:00+05:30,499.75,536.75,495.6,495.6,2750,1375,,,,,
2026-05-05 00:00:00+05:30,431.75,431.75,431.75,431.75,275,1375,,,,,
2026-05-06 00:00:00+05:30,419.9,419.9,419.9,419.9,825,2200,,,,,
2026-05-07 00:00:00+05:30,450.4,450.4,450.4,450.4,825,3025,,,,,
2026-05-08 00:00:00+05:30,455.6,468.75,455.6,468.75,1650,2200,,,,,
2026-05-11 00:00:00+05:30,428.55,428.55,414.25,414.25,3850,3300,,,,,
2026-05-12 00:00:00+05:30,337.85,337.85,337.85,337.85,825,3300,,,,,
2026-05-13 00:00:00+05:30,337.85,337.85,337.85,337.85,0,3300,,,,,
2026-05-14 00:00:00+05:30,302.05,302.05,302.05,302.05,550,2750,,,,,
2026-05-15 00:00:00+05:30,302.05,302.05,302.05,302.05,0,2750,,,,,
