date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,88.8,115.35,88.8,96.25,54500,23250,0.2883352610126781,0.5383233767880519,0.0017586775243875299,-1.795109930278975,3.10968298284014
2026-04-28 00:00:00+05:30,116.95,134.7,99.35,100.9,25500,26500,0.3009645445781961,0.545553789628009,0.0017084618371702384,-1.8942822583362913,3.0550069167292486
2026-04-29 00:00:00+05:30,97.9,122.45,90.05,100.75,13500,26250,0.2687072118315873,0.5855252500106656,0.0019024155350705063,-1.7529477727400855,2.971418172152443
2026-04-30 00:00:00+05:30,84.1,96.05,70.9,92.9,44500,29000,0.2650847448657172,0.5692045329893004,0.001987376729605181,-1.7606676683951596,2.9305804449826782
2026-05-04 00:00:00+05:30,110.0,136.4,106.5,129.55,13250,28250,,,,,
2026-05-05 00:00:00+05:30,112.95,137.1,108.65,132.3,4500,27000,,,,,
2026-05-06 00:00:00+05:30,142.0,173.1,134.4,173.1,1250,26500,,,,,
2026-05-07 00:00:00+05:30,173.1,173.1,173.1,173.1,0,26500,,,,,
2026-05-08 00:00:00+05:30,173.1,173.1,173.1,173.1,0,26500,,,,,
2026-05-11 00:00:00+05:30,173.1,173.1,173.1,173.1,0,26500,,,,,
2026-05-12 00:00:00+05:30,173.1,173.1,173.1,173.1,0,26500,,,,,
2026-05-13 00:00:00+05:30,173.1,173.1,173.1,173.1,0,26500,,,,,
2026-05-14 00:00:00+05:30,173.1,173.1,173.1,173.1,0,26500,,,,,
2026-05-15 00:00:00+05:30,169.4,169.4,160.0,162.55,4000,25250,,,,,
