date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,8.4,8.95,5.7,6.0,40500,22500,0.3357691074654525,-0.10081144218396598,0.0014639874728899418,-0.34308916020817004,0.6340014653588527
2026-04-28 00:00:00+05:30,6.5,6.5,5.5,6.05,18500,23000,0.33904308443874337,-0.10231614461210148,0.0014937471011391963,-0.3564351504977247,0.6287933140537214
2026-04-29 00:00:00+05:30,4.8,7.25,4.8,7.0,17500,30500,0.32562243265711666,-0.12277015088537646,0.0018325643752822875,-0.3889313246552422,0.6924683447136848
2026-04-30 00:00:00+05:30,9.55,10.05,7.6,8.65,14000,32500,0.33208209833958857,-0.14669785503590105,0.0020891410146738304,-0.451784793299534,0.760601639311612
2026-05-04 00:00:00+05:30,6.4,6.4,5.2,5.55,19000,29000,0.34201023957720844,-0.10593996659827676,0.00173451290944068,-0.414165616169018,0.5645996081492217
2026-05-05 00:00:00+05:30,6.5,8.35,5.9,6.35,29000,40500,,,,,
2026-05-06 00:00:00+05:30,4.5,5.1,3.5,3.55,34500,38500,,,,,
2026-05-07 00:00:00+05:30,3.55,3.55,3.55,3.55,500,38500,,,,,
2026-05-08 00:00:00+05:30,3.55,3.55,3.55,3.55,0,38500,,,,,
2026-05-11 00:00:00+05:30,3.55,4.65,3.5,4.65,4500,38000,,,,,
2026-05-12 00:00:00+05:30,4.65,11.5,4.65,10.55,45500,40000,,,,,
2026-05-13 00:00:00+05:30,9.0,10.25,6.7,7.5,75000,39500,,,,,
2026-05-14 00:00:00+05:30,6.3,8.7,4.0,4.25,79500,32000,,,,,
2026-05-15 00:00:00+05:30,3.8,4.0,2.9,3.5,27500,41000,,,,,
