date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,30.0,30.0,15.1,16.3,663950,477400,0.3513462786692323,-0.2218519744820835,0.002445997776768947,-0.5725126251860483,1.0299940964704992
2026-04-28 00:00:00+05:30,16.0,19.65,15.0,18.35,472150,480550,0.30066634022690053,-0.28349497117853795,0.003400106885055551,-0.5386361509327958,1.1217728047033417
2026-04-29 00:00:00+05:30,18.0,18.85,13.85,17.8,658700,500850,0.3112669251740729,-0.27298268673465276,0.003272029790166954,-0.5640423916053051,1.085246438243379
2026-04-30 00:00:00+05:30,19.6,21.7,13.45,16.2,377300,521150,0.2987033858277831,-0.26684737073592746,0.003438443693261771,-0.5444016943765396,1.0519457703527513
2026-05-04 00:00:00+05:30,14.05,17.35,13.05,13.85,341250,527100,,,,,
2026-05-05 00:00:00+05:30,17.3,17.35,11.6,12.65,219100,499450,,,,,
2026-05-06 00:00:00+05:30,10.6,15.55,9.5,14.0,474950,492100,,,,,
2026-05-07 00:00:00+05:30,13.25,16.45,12.75,15.55,632100,481600,,,,,
2026-05-08 00:00:00+05:30,15.15,15.55,8.9,9.55,533400,490000,,,,,
2026-05-11 00:00:00+05:30,9.65,10.25,7.9,9.3,322000,475650,,,,,
2026-05-12 00:00:00+05:30,12.2,31.5,12.2,29.15,1921850,560000,,,,,
2026-05-13 00:00:00+05:30,28.95,33.0,22.9,28.0,1131550,586600,,,,,
2026-05-14 00:00:00+05:30,32.0,52.95,32.0,39.35,749700,501200,,,,,
2026-05-15 00:00:00+05:30,28.9,36.45,22.45,33.7,554750,509250,,,,,
