date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,78.0,80.7,74.65,75.0,32450,47850,0.23308293420887546,0.9357209387879503,0.002422460562043491,-0.23071001123834414,0.2798379330268522
2026-04-28 00:00:00+05:30,75.0,79.3,69.3,69.75,19800,54450,0.2783794838129305,0.8817310273119927,0.003281566184829367,-0.3237876969850953,0.4291486507895414
2026-04-29 00:00:00+05:30,72.2,76.85,66.35,67.3,64900,44550,0.2999953046074585,0.8565641706069674,0.003559791044892386,-0.37316385193001345,0.4793853729162912
2026-04-30 00:00:00+05:30,60.0,63.95,53.0,62.6,96250,53350,0.3343601014850896,0.8088240262848527,0.003955452033133239,-0.46074956323333716,0.561032544556697
2026-05-04 00:00:00+05:30,66.4,73.15,60.15,66.3,59950,94600,,,,,
2026-05-05 00:00:00+05:30,56.3,59.9,51.3,59.4,48950,92400,,,,,
2026-05-06 00:00:00+05:30,63.9,84.1,63.2,83.95,44000,111650,,,,,
2026-05-07 00:00:00+05:30,77.0,80.9,75.25,79.95,16500,107250,,,,,
2026-05-08 00:00:00+05:30,70.0,70.0,64.0,66.6,19800,107800,,,,,
2026-05-11 00:00:00+05:30,58.35,60.0,48.8,50.45,104500,80850,,,,,
2026-05-12 00:00:00+05:30,43.0,44.9,36.65,38.4,129800,116050,,,,,
2026-05-13 00:00:00+05:30,41.0,45.1,36.5,36.95,151250,118250,,,,,
2026-05-14 00:00:00+05:30,37.8,57.85,33.7,52.55,133100,117150,,,,,
2026-05-15 00:00:00+05:30,60.35,61.75,48.45,49.65,35200,139150,,,,,
