date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,223.35,223.35,223.35,223.35,0,0,2.970417935609607,0.7225161600915004,0.0006701518501407398,-2.9268964007548544,0.5642621799723788
2026-04-28 00:00:00+05:30,76.2,76.2,76.2,76.2,1100,1100,0.3980653637245258,0.8940132728510796,0.0028136347360243445,-0.2930920188556805,0.29923479880258624
2026-04-29 00:00:00+05:30,87.0,87.0,87.0,87.0,1100,1100,0.6036487054090274,0.8227436280675955,0.0026629600555833684,-0.5412390470161369,0.42012393722063673
2026-04-30 00:00:00+05:30,87.0,87.0,87.0,87.0,0,1100,0.749222060383835,0.7668080339733252,0.002607305581554739,-0.7552379057438716,0.47930415444179475
2026-05-04 00:00:00+05:30,87.0,87.0,87.0,87.0,0,1100,,,,,
2026-05-05 00:00:00+05:30,87.0,87.0,87.0,87.0,0,1100,,,,,
2026-05-06 00:00:00+05:30,81.25,87.4,80.15,87.4,14300,15400,,,,,
2026-05-07 00:00:00+05:30,104.7,109.8,104.7,109.8,6600,8800,,,,,
2026-05-08 00:00:00+05:30,109.8,109.8,109.8,109.8,0,8800,,,,,
2026-05-11 00:00:00+05:30,109.8,109.8,109.8,109.8,0,8800,,,,,
2026-05-12 00:00:00+05:30,92.35,92.35,92.35,92.35,3300,8800,,,,,
2026-05-13 00:00:00+05:30,92.35,92.35,92.35,92.35,0,8800,,,,,
2026-05-14 00:00:00+05:30,92.35,92.35,92.35,92.35,0,8800,,,,,
2026-05-15 00:00:00+05:30,92.35,92.35,92.35,92.35,0,8800,,,,,
